geneSet,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
GO:0009968,negative regulation of signal transduction (GO:0009968),265,42,18.32801141,2.291574304,3.54E-07,1.93E-04,9368;55366;6622;7498;1956;2719;57556;4057;650;57502;26153;2625;7301;347;2247;23213;56603;5727;4435;9370;6422;10252;6376;23542;55022;5753;10253;1634;2146;64102;6725;23189;90993;440503;5064;114804;79812;25928;5997;147495;8643;11197,SPRY2;CX3CL1;TNMD;WIF1;SFRP1;GPC3;APCDD1;FGF2;ADIPOQ;EZH2;SNCA;KANK1;BMP2;SULF1;EGFR;SOSTDC1;RGS2;APOD;PID1;PTCH2;SEMA6A;SPRY1;PTCH1;MMRN2;LGR4;CITED1;KIF26A;DCN;CREB3L1;MAPK8IP2;CYP26B1;SLC9A3R1;NLGN4X;RNF157;SRMS;PTK6;PALM;TYRO3;XDH;GATA3;PLIN5;LTF
GO:0097306,cellular response to alcohol (GO:0097306),48,15,3.319790747,4.518357073,4.48E-07,2.23E-04,111;7292;54331;5737;5734;2770;1066;8644;2822;5727;1646;6422;641;687;5888,SFRP1;RAD51;KLF9;CES1;AKR1C2;TNFSF4;PTGFR;GPLD1;PTGER4;BLM;GNAI1;PTCH1;AKR1C3;ADCY5;GNG2
GO:0030335,positive regulation of cell migration (GO:0030335),268,42,18.53549834,2.265922353,4.83E-07,2.23E-04,3815;2255;11170;2152;4916;1956;3479;150;2246;857;7481;54437;80031;57556;10371;223117;56920;650;4638;2335;5979;59352;6387;3918;51176;1906;3373;57111;4680;55612;4318;5168;10253;8784;1277;4921;51512;2159;153769;131578;80310;286077,SEMA5B;SPRY2;FN1;LRRC15;FGF1;FAM107A;CAV1;GTSE1;MYLK;KIT;ENPP2;SEMA3G;BMP2;EGFR;F10;F3;LEF1;SEMA3D;HYAL1;LGR6;PDGFD;SEMA6D;SEMA6A;CXCL12;NTRK3;FGF10;MMP9;CEACAM6;IGF1;FAM83H;EDN1;DDR2;WNT11;SEMA3A;TNFRSF18;RET;ADRA2A;FERMT1;SH3RF2;LAMC2;RAB25;COL1A1
GO:0006936,muscle contraction (GO:0006936),129,26,8.921937632,2.914165182,6.34E-07,2.72E-04,25802;7111;4604;1674;4621;7138;7140;1756;6329;10580;9172;30819;4638;5021;6261;4629;845;3270;1410;5348;1160;59;10398;8082;8736;72,FXYD1;LMOD1;DMD;MYH11;KCNIP2;CRYAB;OXTR;MYOM1;MYLK;TMOD1;ACTG2;SCN4A;SORBS1;CKMT2;TNNT3;TNNT1;MYH3;SSPN;DES;CASQ2;MYL9;MYBPC1;MYOM2;ACTA2;HRC;RYR1
GO:0071379,cellular response to prostaglandin stimulus (GO:0071379),10,7,0.691623072,10.12111984,7.40E-07,2.97E-04,7292;54331;5737;5734;8644;1646;6422,SFRP1;AKR1C2;TNFSF4;PTGFR;PTGER4;AKR1C3;GNG2
GO:0001501,skeletal system development (GO:0001501),156,29,10.78931993,2.687843182,8.64E-07,3.25E-04,3479;5745;5744;5734;1009;7481;650;7704;6664;654;658;23213;55553;5950;3373;6660;4148;1462;1278;2662;1277;1300;249;91461;1311;5549;4883;60529;5307,COL10A1;COMP;PITX1;ZBTB16;RBP4;GDF10;MATN3;BMP2;SULF1;ALX4;HYAL1;PTGER4;CDH11;VCAN;PTH1R;ALPL;BMP6;IGF1;SOX6;PKDCC;PRELP;WNT11;BMPR1B;SOX5;PTHLH;COL1A1;SOX11;NPR3;COL1A2
GO:0030334,regulation of cell migration (GO:0030334),405,55,28.01073442,1.96353295,1.07E-06,3.78E-04,301;3815;2255;2252;11170;4804;2152;4916;1956;3479;150;2246;9928;857;7481;154810;54437;80031;57556;10371;223117;56920;4248;650;4638;84612;7122;5979;59352;54538;6387;91584;3918;51176;1906;2247;23213;9370;6422;6376;4680;4318;5168;10253;1277;3868;51512;2159;23189;153769;131578;9079;80310;286077;285313,SEMA5B;SPRY2;CX3CL1;KIF14;LRRC15;FGF1;IGSF10;FAM107A;CAV1;ANXA1;GTSE1;SFRP1;MYLK;FGF2;CLDN5;ADIPOQ;KIT;ENPP2;LDB2;SEMA3G;AMOTL1;KANK1;BMP2;SULF1;EGFR;NGFR;F10;F3;LEF1;SEMA3D;LGR6;PDGFD;SEMA6D;MGAT3;SEMA6A;PLXNA4;CXCL12;NTRK3;FGF10;MMP9;CEACAM6;ROBO4;IGF1;FAM83H;EDN1;WNT11;FGF7;SEMA3A;PARD6B;RET;ADRA2A;SH3RF2;LAMC2;COL1A1;KRT16
GO:0007411,axon guidance (GO:0007411),202,34,13.97078606,2.43364975,1.13E-06,3.79E-04,54437;80031;57556;10371;223117;56920;9378;6586;64221;9638;57549;5979;7436;6711;2675;4781;59352;54538;6387;1949;5649;10381;1944;494470;8660;91584;4684;3918;219699;90249;2051;3909;3908;2047,SEMA5B;ROBO3;RELN;EPHB1;TUBB3;NRXN1;UNC5B;SEMA3G;NFIB;SPTBN1;NCAM1;SEMA3D;LGR6;EPHB6;SEMA6D;SEMA6A;PLXNA4;GFRA2;CXCL12;IRS2;FEZ1;SLIT3;LAMA3;ROBO4;SEMA3A;VLDLR;LAMA2;EFNA3;EFNB3;IGSF9;RNF165;RET;LAMC2;UNC5A
GO:0000819,sister chromatid segregation (GO:0000819),34,12,2.351518446,5.103085635,1.48E-06,4.68E-04,5347;81930;7153;9700;10403;11130;64105;10051;51203;55143;3833;10615,CDCA8;TOP2A;NUSAP1;ZWINT;NDC80;PLK1;SPAG5;KIFC1;KIF18A;SMC4;ESPL1;CENPK
GO:0030199,collagen fibril organization (GO:0030199),89,20,6.155445343,3.249155648,2.11E-06,6.07E-04,3918;3909;667;3914;1308;1281;1278;1277;1290;1289;283208;4921;7373;1303;84171;140766;1300;1288;1805;1301,COL10A1;COL11A1;DST;ADAMTS14;LOXL4;P4HA3;COL17A1;DPT;LAMB3;COL5A2;COL5A1;LAMA3;COL12A1;DDR2;COL4A6;COL14A1;LAMC2;COL1A1;COL3A1;COL1A2
GO:0045597,positive regulation of cell differentiation (GO:0045597),255,39,17.63638834,2.211337109,2.28E-06,6.07E-04,7538;5468;1894;3479;7048;3569;4023;1000;948;4057;947;185;650;3202;5919;8626;7704;6664;51176;654;658;55273;55553;255743;2201;6422;7477;6660;2296;1277;2146;4921;5320;5764;91461;55885;51704;23531;91653,HOXA5;ZBTB16;BOC;SFRP1;LPL;ECT2;EZH2;TMEM100;CD36;TGFBR2;PTN;BMP2;PPARG;LEF1;GPRC5B;FBN2;ZFP36;CD34;TP63;BMP6;IGF1;IL6;SOX6;PKDCC;DDR2;NPNT;FOXC1;BMPR1B;SOX5;MMD;LMO3;CDH2;AGTR1;PLA2G2A;RARRES2;COL1A1;WNT7B;SOX11;LTF
GO:0045596,negative regulation of cell differentiation (GO:0045596),190,32,13.14083837,2.435156654,2.30E-06,6.07E-04,5468;7498;1956;3569;857;5744;2625;7704;2308;3249;5727;4212;4435;9370;2202;6422;10252;130497;1869;63923;1840;10253;57761;2662;23461;3169;1290;1289;54756;51232;25928;862,SPRY2;ZBTB16;CAV1;OSR1;SFRP1;GDF10;ADIPOQ;ABCA5;MEIS2;PPARG;E2F1;EGFR;SOSTDC1;FOXO1;CRIM1;RUNX1T1;COL5A2;SPRY1;COL5A1;EFEMP1;TRIB3;DTX1;PTCH1;IL17RD;CITED1;IL6;HPN;PTHLH;XDH;GATA3;TNN;FOXA1
GO:0045667,regulation of osteoblast differentiation (GO:0045667),82,19,5.671309192,3.350196464,2.32E-06,6.07E-04,5468;3479;3569;4057;650;8626;6664;654;658;5727;255743;4435;2201;7477;63923;2662;4921;64093;51232,GDF10;BMP2;PPARG;CRIM1;FBN2;TP63;PTCH1;SMOC1;BMP6;CITED1;IGF1;IL6;DDR2;NPNT;BMPR1B;TNN;WNT7B;SOX11;LTF
GO:2000147,positive regulation of cell motility (GO:2000147),220,35,15.21570759,2.30025451,3.02E-06,7.05E-04,3815;11170;2152;6366;4916;1956;3479;150;2246;857;7481;54437;80031;57556;10371;223117;56920;650;4638;5979;59352;6387;3918;51176;1906;4680;4318;10253;1277;51512;2159;153769;131578;80310;286077,SEMA5B;SPRY2;LRRC15;FGF1;FAM107A;CAV1;GTSE1;MYLK;KIT;SEMA3G;BMP2;EGFR;F10;F3;LEF1;SEMA3D;LGR6;PDGFD;SEMA6D;CCL21;SEMA6A;CXCL12;NTRK3;MMP9;CEACAM6;IGF1;FAM83H;EDN1;WNT11;SEMA3A;RET;ADRA2A;SH3RF2;LAMC2;COL1A1
GO:0032870,cellular response to hormone stimulus (GO:0032870),76,18,5.256335349,3.424439045,3.05E-06,7.05E-04,2690;3952;150;857;10267;6586;8644;1645;1583;1646;6422;477;7068;8835;8013;687;2908;7035,LEP;ATP1A2;CAV1;SFRP1;KLF9;AKR1C1;AKR1C2;NR3C1;GHR;CYP11A1;TFPI;SOCS2;AKR1C3;THRB;SLIT3;RAMP1;ADRA2A;NR4A3
GO:2000181,negative regulation of blood vessel morphogenesis (GO:2000181),76,18,5.256335349,3.424439045,3.05E-06,7.05E-04,5468;3627;57556;3202;7122;1944;4881;23213;7010;2296;9314;10253;5140;1634;64102;9510;641700;140862,SPRY2;HOXA5;TNMD;ADAMTS1;NPR1;CLDN5;CXCL10;ISM1;PPARG;SULF1;KLF4;SEMA6A;ECSCR;DCN;PDE3B;TEK;FOXC1;EFNA3
GO:0048522,positive regulation of cellular process (GO:0048522),617,73,42.67314356,1.710677816,4.01E-06,8.93E-04,7538;32;2255;2252;9472;4916;4915;1956;3479;150;2246;3084;7048;9928;3569;7292;6288;51085;857;5737;5744;2350;948;80736;7122;8644;11076;1378;2335;6664;6285;6387;8660;3918;3249;51176;3043;1906;1907;2247;654;658;1959;4212;1646;6422;3373;6376;8317;2305;57111;4680;101;990;332;5753;3590;146433;3977;85480;8784;2146;5764;6886;89958;219790;7272;10615;9055;4072;3226;80310;11082,TSLP;NTRK2;IL11RA;CX3CL1;FN1;KIF14;FGF1;FOXM1;SPAG5;BIRC5;S100B;LIFR;ESM1;CAV1;CDC6;SFRP1;PRC1;SAA1;ACACB;TTK;FGF2;CLDN5;EZH2;HBB;MLXIPL;CD36;TGFBR2;MEIS2;AKR1C2;PTN;TNFSF4;EGFR;ADAM8;PTGFR;RTKN2;EGR2;LEF1;HYAL1;TAL1;PDGFD;AKAP6;CXCL12;NTRK3;IRS2;ZFP36;FGF10;CDC7;TPPP;AKR1C3;IL34;BMP6;CEACAM6;SAPCD2;NRG1;IGF1;IL6;EDN1;FGF7;BMPR1B;TNFRSF18;PTK6;EDN2;FOLR2;SLC44A4;HOXC10;HPN;ADRA2A;CR1;PTHLH;EPCAM;LAMC2;RAB25;SOX11
GO:0031581,hemidesmosome assembly (GO:0031581),12,7,0.829947687,8.434266536,4.32E-06,9.03E-04,3918;3909;667;3914;1308;3852;3861,DST;COL17A1;LAMB3;KRT14;KRT5;LAMA3;LAMC2
GO:0042127,regulation of cell population proliferation (GO:0042127),755,85,52.21754195,1.627805462,4.75E-06,9.03E-04,1128;9368;3815;2255;2252;554;4916;4915;1956;3479;150;2246;3084;7048;9928;3624;3569;7292;51085;3627;5737;4283;5744;2350;185;650;2625;7122;8644;1378;2335;6664;6285;8660;3918;51176;1906;1907;2822;2247;654;4212;1646;6422;1050;6376;8317;1033;2305;57111;4680;990;3489;332;5784;10110;8013;3725;3590;6776;146433;3977;79801;9314;85480;54997;943;6713;8854;50943;2146;5764;29128;83595;89958;9510;219790;7272;9055;92304;4072;4883;3226;80310;11082,INHBA;TSLP;NTRK2;IL11RA;CX3CL1;UHRF1;FN1;KIF14;CDKN3;FGF1;FOXM1;BIRC5;S100B;LIFR;IGFBP6;ESM1;TESC;CDC6;SFRP1;SHCBP1;PRC1;ALDH1A2;TTK;AVPR2;ADAMTS1;FGF2;CLDN5;KIT;EZH2;MLXIPL;SQLE;TGFBR2;CXCL10;MEIS2;AKR1C2;SGK2;PTN;BMP2;TNFSF4;PTPN14;EGFR;PTGFR;JUN;GPLD1;RTKN2;LEF1;KLF4;PDGFD;STAT5A;FOXP3;NTRK3;IRS2;FGF10;CDC7;AKR1C3;SCGB3A1;SOX7;IL34;BMP6;CEACAM6;SAPCD2;NRG1;IGF1;IL6;EDN1;CXCL9;SLC9A3R1;FGF7;TNFRSF8;EDN2;FOLR2;HOXC10;AGTR1;ADRA2A;NR4A3;CEBPA;CR1;PTHLH;EPCAM;LAMC2;RAB25;GATA3;SOX11;NPR3;CHRM1
GO:0007094,mitotic spindle assembly checkpoint signaling (GO:0007094),21,9,1.452408452,6.196603985,4.81E-06,9.03E-04,991;701;4085;5347;1063;11130;699;9319;7272,CENPF;BUB1;ZWINT;PLK1;BUB1B;CDC20;TTK;TRIP13;MAD2L1
GO:0071174,mitotic spindle checkpoint signaling (GO:0071174),21,9,1.452408452,6.196603985,4.81E-06,9.03E-04,991;701;4085;5347;1063;11130;699;9319;7272,CENPF;BUB1;ZWINT;PLK1;BUB1B;CDC20;TTK;TRIP13;MAD2L1
GO:0071173,spindle assembly checkpoint signaling (GO:0071173),21,9,1.452408452,6.196603985,4.81E-06,9.03E-04,991;701;4085;5347;1063;11130;699;9319;7272,CENPF;BUB1;ZWINT;PLK1;BUB1B;CDC20;TTK;TRIP13;MAD2L1
GO:0045841,negative regulation of mitotic metaphase/anaphase transition (GO:0045841),22,9,1.521570759,5.914940168,7.64E-06,0.001363043,991;701;4085;5347;1063;11130;699;9319;7272,CENPF;BUB1;ZWINT;PLK1;BUB1B;CDC20;TTK;TRIP13;MAD2L1
GO:1903670,regulation of sprouting angiogenesis (GO:1903670),33,11,2.282356138,4.819580878,7.71E-06,0.001363043,2246;57556;10365;2247;168667;57381;9314;1870;26051;90993;6271,FGF1;FGF2;BMPER;RHOJ;E2F2;KLF4;SEMA6A;PPP1R16B;CREB3L1;KLF2;S100A1
GO:0045778,positive regulation of ossification (GO:0045778),40,12,2.766492289,4.33762279,1.02E-05,0.001758474,650;7704;6664;654;658;2201;130497;2824;9636;9365;5764;91461,ZBTB16;OSR1;KL;PTN;BMP2;FBN2;GPM6B;BMP6;ISG15;PKDCC;BMPR1B;SOX11
GO:0061035,regulation of cartilage development (GO:0061035),18,8,1.24492153,6.426107837,1.19E-05,0.001990772,5744;7481;650;7704;658;55553;6660;129642,ZBTB16;BMP2;MBOAT2;SOX6;WNT11;BMPR1B;SOX5;PTHLH
GO:0097435,supramolecular fiber organization (GO:0097435),346,46,23.9301583,1.922260581,1.41E-05,0.002238059,2934;25802;7111;390;27289;1674;6622;9928;825;5239;6288;948;4057;4240;9627;81930;11004;11076;3918;3909;667;3914;4629;10516;1308;1281;1278;4239;1277;1290;1289;283208;4921;7373;1303;84171;140766;1300;1288;1805;1301;55137;79745;7148;51673;79649,COL10A1;COL11A1;LMOD1;MYH11;TNXB;KIF2C;KIF14;DST;ADAMTS14;LOXL4;SAA1;PGM5;TMOD1;KIF18A;SNCA;CD36;P4HA3;GSN;CLIP4;COL17A1;CAPN3;DPT;LAMB3;RND3;COL5A2;COL5A1;DES;MFAP4;TPPP;FBLN5;MAP7D3;FIGN;LAMA3;MFGE8;COL12A1;DDR2;SNCAIP;COL4A6;COL14A1;TPPP3;LAMC2;RND1;COL1A1;LTF;COL3A1;COL1A2
GO:0010001,glial cell differentiation (GO:0010001),29,10,2.005706909,4.985773322,1.43E-05,0.002238059,2255;1000;6663;11076;6664;4781;5649;1959;5803;79006,RELN;PTPRZ1;SOX10;NFIB;EGR2;FGF10;TPPP;METRN;CDH2;SOX11
GO:0051896,regulation of protein kinase B signaling (GO:0051896),207,32,14.31659759,2.235167943,1.45E-05,0.002238059,9368;3815;2255;2252;2152;7498;6366;4916;4915;64805;1956;3952;2246;284;3084;2625;8644;5979;8660;55024;2247;4233;1646;6376;7010;101;9365;152831;10253;57761;2159;9542,SPRY2;NTRK2;CX3CL1;LEP;NRG2;FGF1;KL;FGF2;KIT;AKR1C2;KLB;P2RY12;EGFR;ADAM8;F10;F3;ANGPT1;MET;CCL21;NTRK3;IRS2;FGF10;TRIB3;AKR1C3;NRG1;SLC9A3R1;FGF7;TEK;RET;XDH;GATA3;BANK1
GO:0051897,positive regulation of protein kinase B signaling (GO:0051897),161,27,11.13513146,2.424758081,1.51E-05,0.002265609,3815;2255;2252;2152;6366;64805;1956;3952;2246;284;3084;2625;8644;5979;8660;2247;4233;1646;6376;7010;101;9365;152831;10253;57761;2159;9542,SPRY2;CX3CL1;LEP;NRG2;FGF1;KL;FGF2;KIT;AKR1C2;KLB;P2RY12;EGFR;ADAM8;F10;F3;ANGPT1;MET;CCL21;IRS2;FGF10;TRIB3;AKR1C3;NRG1;FGF7;TEK;RET;GATA3
GO:0050678,regulation of epithelial cell proliferation (GO:0050678),93,19,6.432094572,2.953936667,1.64E-05,0.002400518,7538;2255;2252;1956;3952;3479;2246;284;3249;2247;3164;7049;654;6422;130497;3373;8013;29128;1028,LEP;UHRF1;FGF1;OSR1;SFRP1;FGF2;TGFBR3;CDKN1C;EGFR;ANGPT1;HYAL1;ZFP36;FGF10;NR4A1;BMP6;IGF1;FGF7;HPN;NR4A3
GO:0030501,positive regulation of bone mineralization (GO:0030501),36,11,2.48984306,4.417949138,1.97E-05,0.002760302,4057;650;654;658;2201;130497;2824;9636;9365;5764;91461,OSR1;KL;PTN;BMP2;FBN2;GPM6B;BMP6;ISG15;PKDCC;BMPR1B;LTF
GO:0001706,endoderm formation (GO:0001706),36,11,2.48984306,4.417949138,1.97E-05,0.002760302,3624;2335;3909;3914;64321;3679;4318;1843;1303;1301;83595,COL11A1;INHBA;FN1;ITGA7;LAMB3;SOX17;DUSP1;SOX7;MMP9;LAMA3;COL12A1
GO:0045669,positive regulation of osteoblast differentiation (GO:0045669),43,12,2.973979211,4.034997944,2.32E-05,0.003165121,3479;3569;4057;650;8626;6664;654;658;255743;2201;7477;4921,BMP2;FBN2;TP63;BMP6;IGF1;IL6;DDR2;NPNT;BMPR1B;WNT7B;SOX11;LTF
GO:0060429,epithelium development (GO:0060429),122,22,8.437801481,2.607314245,2.90E-05,0.003840445,9368;2255;5468;6663;983;947;1066;650;6664;1645;4223;64321;5727;1646;230;7477;130497;6491;8854;3868;6876;4222,CDK1;OSR1;ALDH1A2;STIL;CES1;AKR1C1;MEOX2;AKR1C2;BMP2;PPARG;SOX10;MEOX1;ALDOC;SOX17;FGF10;CD34;PTCH1;TAGLN;SLC9A3R1;WNT7B;SOX11;KRT16
GO:1901992,positive regulation of mitotic cell cycle phase transition (GO:1901992),58,14,4.011413819,3.490041325,3.00E-05,0.003840445,301;2255;1956;11065;983;891;9700;3373;993;8317;51514;9787;113130;9510,UBE2C;CDK1;DTL;DLGAP5;CCNB1;CDCA5;ANXA1;ADAMTS1;ESPL1;EGFR;HYAL1;FGF10;CDC7;CDC25A
GO:0001654,eye development (GO:0001654),58,14,4.011413819,3.490041325,3.00E-05,0.003840445,64220;658;4212;2201;2202;5950;91851;2296;1290;1289;64093;170692;4081;27151,RBP4;MAB21L1;CHRDL1;MEIS2;COL5A2;COL5A1;EFEMP1;FBN2;CPAMD8;SMOC1;ADAMTS18;FOXC1;BMPR1B;STRA6
GO:0048568,embryonic organ development (GO:0048568),66,15,4.564712277,3.286077871,3.39E-05,0.004245524,3815;7048;64220;23493;5919;2625;64321;10763;220;7477;5950;6491;91461;7173;6886,RBP4;STIL;KIT;TGFBR2;NES;TAL1;SOX17;TPO;ALDH1A3;PKDCC;HEY2;RARRES2;STRA6;GATA3;WNT7B
GO:0034695,response to prostaglandin E (GO:0034695),11,6,0.760785379,7.886586891,3.68E-05,0.004479963,6366;7292;54331;5734;7049;6422,SFRP1;TGFBR3;TNFSF4;PTGER4;CCL21;GNG2
GO:0086010,membrane depolarization during action potential (GO:0086010),26,9,1.798219988,5.004949373,3.73E-05,0.004479963,6329;6326;6335;6332;6328;55800;6327;6330;477,SCN4B;SCN3A;ATP1A2;SCN2B;SCN3B;SCN4A;SCN2A;SCN9A;SCN7A
