,SYMBOL
159,GNAL
160,STARD9
161,TCEAL7
162,WIF1
163,SLC25A27
164,GRIA4
165,MT1M
166,ESM1
167,SYN2
168,KCNIP2
169,TESC
170,PDK4
171,CCNE2
172,CACHD1
173,SLC2A4
174,CRYAB
175,HSPB6
176,RBP4
177,PDE1C
178,BOC
179,SLC17A7
180,LEPR
181,TF
182,FAM107A
183,CCNA2
184,LRRN4CL
185,PDE2A
186,OXTR
187,LMNB1
188,FAM13A
189,ABCA9
190,CENPE
191,CAV1
192,TMEM132C
193,CDCA5
194,CDC6
195,KIF23
196,OSR1
197,CLEC3B
198,ADCYAP1R1
199,KIF26B
200,LOXL4
201,NR3C2
202,ANXA1
203,HOXA3
204,GTSE1
205,C1QTNF6
206,ZNF300P1
207,MAB21L1
208,SFRP1
209,CDO1
210,ITM2A
211,HSPB2
212,SHCBP1
213,PRC1
214,FHL1
215,CHRDL1
216,HOXA7
217,MYOM1
218,ESCO2
219,PLAGL1
220,NCAPH
221,SAA1
222,ADH1C
223,ALDH1A2
224,CCDC167
225,ADRB2
226,RAD51
227,PROS1
228,GDF10
229,LPL
230,ADH1A
231,MYBL2
233,KCNMB1
234,GPC3
235,MAGI2-AS3
236,GINS1
237,PGM5
238,MYLK
239,PPP1R1A
240,ACACB
241,TTK
242,SCN2B
243,CIT
244,HAS3
245,TRIM59
246,CTHRC1
248,ANKRD29
249,KL
250,CIDEA
251,CNTNAP3
252,CA3
253,C2orf88
254,PCOLCE2
255,EGR1
256,FANCI
257,FAM13C
259,AVPR2
260,CILP2
261,PAQR4
262,AURKB
263,NUAK2
264,RGN
267,APCDD1
268,CAV2
269,EPHB1
270,LIMS2
271,TIMP4
272,SOBP
273,ADAMTS1
274,CLDN11
275,ADH1B
276,ABCA8
277,TMOD1
278,ID4
279,TUBB3
280,FGF2
281,RMI2
282,WDR86
283,CENPM
286,CDC14B
287,ACTG2
290,LOC100128164
291,PI16
292,S100P
293,SRPX
294,PAFAH1B3
295,KIF18A
296,NPR1
298,SH3BGRL2
299,COL6A6
300,CLDN5
301,CDC45
302,LCAT
303,ADIPOQ
304,LRRC2
305,SLC19A3
306,ABCA5
307,FREM1
309,PCK1
310,TACC3
311,CYYR1
312,GPAM
313,G0S2
314,PLAC9
315,LTBP4
316,POC1A
317,TTYH1
318,TGFBR3
319,SYNPO2
320,KLF9
321,MYEOV
322,ANGPTL1
323,PHYHIP
324,STIL
325,SCN3B
326,MCM10
327,POLQ
328,ITGA7
329,NECAB1
330,RSPO3
331,JPH2
332,TINAGL1
333,ECT2
334,PYCR1
335,LIPE
336,TNFRSF10D
337,CES1
338,CORO2B
339,GSTM5
340,CRTAC1
341,HSPB7
342,KIT
343,TMTC1
344,KIF15
345,WDR62
346,CFD
347,EZH2
348,MT1X
349,NAALAD2
350,CREB5
351,TSPAN7
353,RAPGEF3
354,POSTN
355,TMEM100
356,SDS
357,TLCD1
358,KPNA2
360,RASSF9
361,CDCA2
362,SMC4
363,ESPL1
364,AKR1C1
365,GPR146
366,BMX
367,HAGHL
368,PLP1
370,HMGB3
371,RACGAP1
372,HBB
373,SNCA
375,SCN4A
376,NRXN1
377,SORBS1
378,MLXIPL
379,TNS1
380,ZNF781
381,MAOA
382,CEP112
383,UNC5B
384,MEOX2
385,LRIG3
386,RNASEH2A
387,NAT8L
388,NIPSNAP3B
389,ENPP2
391,LAMP5
393,CD36
394,LGI4
395,ACSM5
396,PYROXD2
397,P4HA3
398,SQLE
399,GSN
400,MEG3
401,LDB2
402,TGFBR2
405,SEMA3G
406,CXCL10
407,MMRN1
408,MAML2
409,DENND2A
410,IL33
411,MEIS2
413,RAD54L
416,FAT2
417,DNASE1L3
422,PEAR1
423,PTCHD1
424,TUFT1
425,AGAP11
426,METTL7A
428,ISM1
429,AKR1C2
430,BMPER
431,IRX1
432,AQP1
433,PALMD
434,LOC100507053
435,TACR1
437,RAD51AP1
438,RECQL4
439,RGS6
440,ABCA6
441,SGK2
442,JAM2
443,PRDM11
444,MRAS
445,PTN
446,ANKRD35
447,AMOTL1
448,CKMT2
449,MATN3
451,ACVR1C
453,ARHGAP11A
454,KANK1
455,RBMS3
456,MYZAP
458,CDKN1C
459,BMP2
460,ABCB1
461,TNFSF4
462,KLB
463,HBA2
465,RNF150
466,SVEP1
467,TNNT3
468,P2RY12
469,ALDH1A1
470,STAC2
471,MIR100HG
472,BGN
473,FAM110D
474,PCDH17
475,PTPRZ1
477,AOC3
478,PPARG
479,PKD1L2
480,ZNF204P
481,PRIMA1
482,PLSCR4
483,SOX10
484,SAA2
487,MEOX1
488,NNAT
489,CHST3
491,TXNIP
492,PTX3
493,RHOJ
494,SULF1
495,LGALS12
496,KLHL31
497,MFAP2
499,E2F1
500,PELI2
501,ALX4
502,WHAMMP2
503,PTPN14
504,EGFR
506,TRIP13
507,GABRE
508,MAD2L1
509,TNNT1
510,PRR11
511,EBF1
512,NFIB
513,NES
514,PCDH9
515,PRX
516,ADAM8
518,HCAR2
520,KANK3
522,GPRC5A
524,INMT
525,SCN2A
526,USHBP1
527,NGFR
528,TMEM88
529,N4BP2L1
530,PTGFR
531,NR3C1
532,AASS
533,ORC6
535,KCNB1
536,PYGM
538,SLC27A6
539,GPX3
540,EDNRB
541,AMT
542,E2F2
543,SOSTDC1
545,EGFLAM
546,OLR1
547,MICAL2
549,EEPD1
550,F10
552,LRP4
553,ADCY4
554,EBF3
558,CLIP4
559,BBOX1
560,FAM189A2
561,JUN
563,SHE
564,LRRC70
566,DIAPH3
567,GPLD1
568,NRN1
569,CNTNAP2
570,WASF3
571,GYG2
572,CNTFR
573,CTTNBP2
574,PLEKHH2
575,UBE2S
576,CADM3
579,PFKFB1
580,F3
581,FOXO1
582,RTKN2
584,SPTBN1
585,FAM124A
586,SH3D19
587,ADHFE1
588,RBP7
589,CRIM1
590,CFL2
591,NCAM1
592,BRIP1
595,RGMA
596,EGR2
597,FAM149A
598,TPRN
599,MRGPRF
600,ADAM19
601,ATAD2
603,RGS2
604,ALDOC
605,NACAD
609,PCDHGB7
612,LEF1
613,COL17A1
615,CAPN3
618,GHR
619,SIK2
621,NCALD
622,KLF4
623,PLA2G4A
625,DPT
626,ANGPT1
627,C16orf89
629,CSRNP1
630,SEMA3D
632,ORC1
633,WSCD2
635,CYP39A1
637,APOD
638,PID1
639,MYH3
641,APBA1
642,CNKSR2
644,CAPN6
646,LRFN5
647,MAFF
648,DSG1
649,DUSP6
650,RIC3
652,HYAL1
654,MET
655,GYPC
656,NMT2
657,TAL1
658,TAT
659,SOD3
662,EGR3
663,PLK4
664,ARHGEF4
665,PARPBP
667,FOS
669,ARC
670,LGR6
671,EPHB6
672,ZNF219
673,CCDC69
674,OGN
676,CYP11A1
678,PTGER4
679,PTCH2
683,CTXN1
685,SSPN
688,RUNX1T1
690,LAMB3
692,PDE11A
693,RUNDC3B
694,C3orf80
695,MOCS1
698,AMY2B
700,PI15
704,GNG11
705,ARL4A
706,PDGFD
707,CENPK
708,GPRC5B
709,STAT5A
711,CDH11
712,SOX17
714,RND3
715,TFPI
718,GSTM2
719,FOXP3
720,ABCD2
721,HES6
722,VCAN
724,NUP210
725,TUBB2B
728,RIMS3
729,RAB26
730,AKAP6
731,RASIP1
735,SLC22A3
736,MCM4
738,PTGS2
739,CCDC85A
741,SEMA6D
742,BCAS4
744,GPR68
748,MGAT3
749,DMGDH
750,AOX1
752,NMNAT2
754,CCL21
756,PIWIL4
759,TYMS
760,SEMA6A
761,CCL28
762,L3MBTL4
763,CCBE1
764,COL5A2
765,CDC14C
767,DEFB1
769,ASTN1
770,DPY19L2
772,FAP
773,PLXNA4
777,SH3TC2
778,KCNAB1
780,HELLS
782,PNPLA7
783,SPRY1
784,ECE2
785,GFRA2
786,COL5A1
788,SPARCL1
789,LHX6
790,CXCL12
791,TRPM6
793,NDN
796,ALB
797,CDT1
798,LARP6
799,AK5
801,ANKDD1A
803,COX7A1
804,IRX6
805,EFEMP1
806,DUSP1
807,NTRK3
808,BLM
809,IRS2
810,CCDC158
811,BHMT2
813,NPR2
814,MID1
815,FBN2
816,MSRB3
817,DES
819,DNA2
820,MTMR9LP
822,EMCN
823,ZFP36
826,SOCS2
827,CASQ2
828,IL4I1
829,PIGR
831,TPO
832,CCDC3
834,MASP2
835,AKAP12
836,FGF10
838,TMEM47
840,CDC7
842,GIMAP8
843,MFAP4
845,OLFM4
846,ATF3
847,TRIB3
848,PPP2R2C
853,GINS2
855,HCAR3
859,S1PR1
865,CD34
866,PIK3C2G
867,TP63
869,GPM6B
870,CLIC5
872,GNAI1
873,HRCT1
874,CAT
875,SLC16A3
877,TMEM71
878,SNCG
880,MOB3B
882,NKAIN1
883,DTX1
885,ANKRD65
887,ATP1B2
890,TPPP
891,PDZD2
892,WSCD1
893,TONSL
895,THRSP
896,APCDD1L
898,FLRT2
899,PPARGC1A
900,FCGR1A
901,FBLN5
902,PTCH1
903,RCAN1
906,MT1L
911,CORIN
912,PTH1R
915,SAMD4A
917,CCDC8
920,ANK2
921,CCDC136
922,CPAMD8
924,AKR1C3
925,ANGPTL4
928,F12
929,PLCXD3
932,MPPED2
934,SCGB3A1
935,ECSCR
936,SOX7
938,DGAT2
939,CCDC152
948,ADCY5
950,TLN2
951,KCNA6
956,EPB41L2
957,IFFO2
959,FHL5
962,NR4A1
965,SBK1
966,MMRN2
968,ALPL
970,ERG
975,IFI30
978,MMP3
981,IL34
983,MUC1
987,LRRN3
990,MMP9
991,PPP1R16B
995,GLDN
997,IFI6
999,ZNF367
1002,CSRNP3
1004,CDC25A
1005,PLAUR
1006,COX6C
1012,PRSS12
1013,CUBN
1018,LUZP2
1023,RHOU
1025,THRB
1028,RAB31
1031,ZNF677
1032,LGR4
1033,IQSEC3
1034,CPS1
1035,SMOC1
1044,APOBEC3B
1045,CCNE1
1046,SLC4A4
1051,NOVA1
1052,IL17RD
1054,MAP7D3
1055,FOXP2
1060,TPD52
1064,MYCT1
1065,THSD7B
1067,HSH2D
1068,MYO15B
1069,GOLGA8A
1070,CD209
1072,MYH7B
1073,LYNX1
1075,KRT14
1076,KRT5
1077,METRN
1079,PKP1
1080,ST6GALNAC3
1081,MGLL
1087,FANCA
1089,PDE7B
1090,XRCC2
1091,CLEC1A
1094,PLEKHA4
1098,BMP6
1099,ALDH1A3
1100,RRAD
1102,CLMP
1105,ADAMTS18
1119,MYL9
1120,CDH23
1123,LLGL2
1133,RHPN1
1134,ZNF662
1137,TMEM132A
1138,GABRP
1139,MBOAT2
1140,FEZ1
1143,XPNPEP2
1146,SLC16A7
1150,SLIT3
1151,GREM2
1152,PDE9A
1154,MRAP2
1155,TMEM37
1156,SPATA17
1159,SPP1
1160,PDLIM4
1161,PDZD4
1164,FIGN
1167,CALB2
1168,RGS4
1174,CEACAM6
1176,MYBPC1
1178,FZD4
1179,MAL2
1180,FAT4
1182,LAMA3
1184,ANKRD22
1188,SAPCD2
1195,FRMD3
1199,SCN9A
1200,NAP1L2
1202,TACC1
1204,DBNDD1
1207,MFGE8
1208,WLS
1210,MUCL1
1213,SLC6A14
1216,ISG15
1217,SORD
1218,MYOM2
1222,ADAMTSL4
1224,EMP1
1227,ARHGEF15
1230,FHOD3
1231,IGF2BP2
1236,ACADS
1243,FLNC
1247,ROBO4
1253,SLC12A8
1257,CELF2
1261,FNDC4
1263,RAMP1
1265,ACTA2
1266,EMX2OS
1274,BIN1
1277,DAAM2
1279,FOLR1
1281,GNG7
1283,NRG1
1287,TPTEP1
1291,CITED1
1293,SYT8
1295,PRDM16
1297,ADM2
1299,KIF26A
1300,BRCA2
1303,IGF1
1308,DCN
1309,PHKG1
1312,EPAS1
1313,TRIM2
1319,RASD1
1324,FNDC1
1329,IL6
1334,STAC
1335,HAAO
1341,TCF7L1
1345,SULT1C4
1347,TAGLN
1348,MEST
1350,CREB3L1
1352,SOX6
1357,VWF
1359,CMTM7
1360,C1QTNF7
1368,DNAH14
1370,C9orf116
1372,PKDCC
1374,PRELP
1380,FAM83H
1381,PTGDS
1385,EBF2
1386,MAPK8IP2
1387,GIMAP1
1388,CNGA1
1391,ABI3BP
1393,LDHB
1395,PTGIS
1396,PDLIM3
1400,COL12A1
1406,ANXA3
1407,NAT1
1408,MIR614
1409,FAM89A
1414,VSIG2
1417,EHD2
1420,ICAM2
1424,ECM2
1425,MARCO
1426,IGSF1
1427,S100A14
1428,FAM184A
1431,PM20D2
1433,MMP28
1435,HEY2
1436,EDN1
1441,LONRF3
1444,SYT15
1447,PDE3B
1450,PCDH18
1463,KLK5
1465,HSPA12B
1466,STARD10
1468,CYP26B1
1470,SV2B
1474,CXCL9
1481,CNR1
1482,ST6GALNAC1
1490,DDR2
1496,HSD17B2
1498,MCAM
1513,PRUNE2
1514,DOC2B
1515,CLDN8
1528,ELF5
1533,PREX2
1535,GIMAP7
1539,PPP1R1B
1559,ANPEP
1560,WNT11
1566,SLC9A3R1
1568,PCDH19
1569,NPNT
1575,SLAIN1
1579,NMB
1581,GOLGA8B
1582,FGF7
1585,BEND7
1603,ACSL1
1611,SNCAIP
1614,APOLD1
1616,SLC14A1
1617,CTSG
1619,TBX15
1622,TRIM29
1631,RASL11B
1643,LILRB5
1644,SDC1
1651,ABCC6
1654,COL4A6
1659,ADORA2A
1663,ADAM12
1666,NLGN4X
1670,ANGPTL2
1672,TFPI2
1685,MRC1
1687,EPN3
1692,TEK
1695,KRT15
1696,DIRAS3
1700,AIFM2
1701,AQP5
1703,MAOB
1711,CECR7
1714,FOXC1
1717,CBX2
1719,SELP
1720,PFKFB3
1727,EVPL
1740,BMPR1B
1746,SLC7A5
1748,KLK7
1750,CAPN9
1757,TNFRSF8
1760,ABLIM3
1761,SEMA3A
1763,VLDLR
1765,ZNF334
1773,HOXC13
1777,ABCG2
1781,PMAIP1
1783,LAMA2
1796,SOX5
1803,RNF157
1807,LRRC46
1808,C15orf48
1821,DNAH6
1825,COL14A1
1828,PCDHGA2
1836,KCNQ4
1839,CELSR3
1844,GDPD5
1845,SLC13A2
1849,HSD11B1
1855,CFB
1868,EFNA3
1872,MUC6
1878,MMD
1888,KLF2
1908,STOX2
1924,DCHS2
1925,CLGN
1931,SLC29A4
1934,TNFRSF18
1935,PRKAR2B
1937,PNPLA2
1939,OASL
1941,C7
1957,MAPK10
1959,FDCSP
1964,SRMS
1968,PTK6
1973,ZNF483
1978,MB
1981,ASPN
1995,EDN2
2000,C3orf52
2006,FOLR2
2010,LDHD
2017,GNG2
2019,ST8SIA1
2024,SYNPO
2030,F2RL2
2032,CRISPLD1
2045,LMO3
2054,PIP5K1B
2058,DDIT4L
2062,KCNK3
2064,SCN7A
2065,HOXA10
2067,KCNK15
2070,KRT8P41
2074,HRC
2079,BAALC
2090,EEF1A2
2098,ADM
2106,PDE8B
2119,TPPP3
2123,DEGS2
2136,PALM
2157,NFASC
2168,SLC44A4
2170,KRT17
2175,STX11
2179,PARD6B
2201,HOXC10
2203,VGLL1
2206,SLC28A3
2209,EFNB3
2210,MYRIP
2212,ZMYND10
2216,KLK6
2223,CDH2
2224,RYR1
2225,MUC15
2234,PPM1J
2238,C6
2242,CADM2
2253,ATP13A5
2264,IGSF9
2282,HPN
2292,SLC35F3
2296,SLPI
2306,DOCK11
2307,KRT8
2321,GBP5
2330,MEX3A
2331,ARHGAP40
2334,NDNF
2335,LAMC3
2337,RSPO1
2338,RNF165
2348,STEAP4
2354,AP1M2
2363,TTC39A
2366,FBXL16
2378,RET
2379,ESRP1
2383,AGTR1
2386,ADRA2A
2389,SLC7A11
2392,PRR15
2399,RBPMS2
2411,CRB3
2414,AMIGO2
2415,ABCC9
2417,ANO5
2420,NR4A3
2427,ALDH2
2439,ARNT2
2450,FCER1A
2471,SLC25A18
2474,KLK10
2476,SYT13
2490,UGT8
2502,TYRO3
2511,ENPP3
2512,CEBPA
2535,CR1
2536,PTH2R
2545,FERMT1
2554,CRABP2
2563,SLC34A2
2567,PCDHGB4
2587,TSPAN1
2597,TJP3
2600,DSC3
2623,GPT
2625,LRP1B
2627,ABO
2630,PEG3
2644,IRX4
2651,SH3RF2
2680,SLC16A6
2701,CLEC10A
2725,PTHLH
2733,GRIA3
2740,CCDC68
2743,CRIP1
2779,KLK11
2781,CRABP1
2782,CXCL14
2784,EPCAM
2806,PLA2G2A
2818,LAMC2
2830,KCNE4
2833,FSIP1
2849,PLCH2
2855,RARRES2
2867,STRA6
2893,TNS4
2898,MIR205HG
2913,SLC7A4
2916,KMO
2917,CXCL13
2924,RAB25
2928,HMGCS2
2933,ABCA12
2956,RND1
3007,PPP1R14C
3008,SHC4
3033,HEPACAM2
3036,KRT18
3044,PKIB
3051,XDH
3054,CLCA2
3070,BCL11A
3075,GATA3
3077,TNN
3094,COL1A1
3129,PRR15L
3158,VWDE
3166,GPX2
3192,RIMS4
3211,UNC5A
3231,KRT19
3239,ZG16B
3251,KCNK2
3253,BANK1
3294,PLIN5
3306,TMEM63C
3307,ST8SIA2
3325,OVOL1
3327,DCDC2
3344,PROM1
3348,SERPINB5
3351,DSG3
3360,SLC5A1
3388,CALML3
3406,WNT7B
3461,SOX11
3471,NPR3
3497,CACNG4
3523,FOXA1
3538,CPNE7
3547,HS6ST3
3575,AKR7A3
3632,FAM3B
3669,S100A1
3671,PRG4
3767,TCN1
3812,NELL2
3816,PRSS8
3984,KRT6B
4000,CHRM1
4025,LTF
4028,TFCP2L1
4033,TFF1
4067,MGP
4074,PART1
4220,AGR2
4236,DNAJC22
4273,COL3A1
4303,CAPN13
4418,B3GNT3
4426,SHISA9
4496,PIP
4502,CYP4F22
4553,COL1A2
4699,BPIFB1
4700,KRT16
4865,AGR3
4899,CP
5186,SPDEF
5456,SCGB1D2
6139,FOXI1
