geneSet,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
GO:0000070,mitotic sister chromatid segregation (GO:0000070),101,25,6.964807392,3.589474711,1.40E-08,7.65E-06,9928;983;5347;891;9493;81930;11004;1062;9700;10403;11130;9787;64105;113130;54892;64151;23397;51203;55143;55165;84722;146909;3833;10615;9055,KIF18B;SPAG5;KIF14;KIF2C;CDCA8;NCAPH;CDCA5;KIF18A;PLK1;CCNB1;CDK1;NDC80;KIF23;KIFC1;NCAPG2;NCAPG;NUSAP1;DLGAP5;CENPK;PRC1;CENPE;CEP55;ESPL1;ZWINT;PSRC1
GO:0051383,kinetochore organization (GO:0051383),13,9,0.896460357,10.03948465,1.89E-08,9.48E-06,1062;81620;83540;10403;1063;387103;9787;1058;64946,CENPF;NUF2;CENPA;CENPH;CDT1;NDC80;DLGAP5;CENPE;CENPW
GO:0007517,muscle organ development (GO:0007517),58,18,3.999592364,4.500458638,3.44E-08,1.59E-05,1756;8912;3479;4208;3908;6444;1960;5463;6943;1839;11149;3679;8910;6876;2273;10290;6525;6442,TCF21;FHL1;SGCA;EGR3;MEF2C;TAGLN;LAMA2;CACNA1H;DMD;SMTN;BVES;ITGA7;IGF1;SPEG;HBEGF;POU6F1;SGCD;SGCE
GO:1903779,regulation of cardiac conduction (GO:1903779),55,17,3.792716897,4.482274966,8.82E-08,3.79E-05,489;287;4881;6910;493;6262;6546;6263;3708;7220;477;845;10060;482;4882;5348;53826,FXYD1;ATP1A2;ANK2;ITPR1;ATP1B2;NPR1;CASQ2;FXYD6;RYR3;ABCC9;ATP2A3;TRPC1;NPR2;ATP2B4;RYR2;SLC8A1;TBX5
GO:0007411,axon guidance (GO:0007411),202,36,13.92961478,2.584421792,1.20E-07,4.81E-05,399;5909;627;54437;9723;7869;56920;9378;6712;9353;6586;3897;152330;2048;2045;9638;2042;9423;6324;57549;2674;2676;4781;59352;6387;220164;91624;5649;10381;1944;4684;9369;9260;8633;23022;3908,SLIT3;SEMA5B;NCAM1;RELN;SEMA3G;DOK6;EPHA3;NRXN1;CXCL12;GFRA3;NEXN;EPHA7;LAMA2;SEMA3E;SLIT2;PALLD;L1CAM;BDNF;GFRA1;UNC5C;SEMA3B;CNTN4;RAP1GAP;NFIB;SCN1B;NTN1;TUBB3;LGR6;FEZ1;EPHB2;IGSF9;SPTBN2;EFNA3;NRXN3;PDLIM7;RHOH
GO:0000819,sister chromatid segregation (GO:0000819),34,13,2.344588627,5.544682701,1.75E-07,6.59E-05,5347;81930;7153;9700;10403;11130;64105;54892;51203;55143;146909;3833;10615,KIF18B;SPAG5;CDCA8;TOP2A;KIF18A;PLK1;NDC80;KIFC1;NCAPG2;NUSAP1;CENPK;ESPL1;ZWINT
GO:0008284,positive regulation of cell population proliferation (GO:0008284),471,63,32.47944833,1.939688118,2.73E-07,9.67E-05,2252;4915;3479;150;7048;2621;9928;3569;3570;5737;2869;2350;358;596;4208;3853;7122;4609;6659;6285;9759;2247;7049;653;10763;6422;7472;5156;23414;3373;225689;6376;1839;8317;1869;2305;55022;4680;8061;332;2260;8013;3590;3572;1440;146433;3977;29923;85480;3398;9760;2146;374;348093;25937;89958;219790;7272;894;9055;4072;683;80310,NR4A3;CLDN5;IL6;AQP1;PTGFR;SFRP1;TGFBR2;FOXM1;FGF2;BMP5;TGFBR3;KIF14;SOX4;MEF2C;IL34;GAS6;SAPCD2;TTK;FGF7;BIRC5;CDC7;TSLP;PID1;CSF3;HYAL1;IL6ST;RBPMS2;NES;CX3CL1;PRC1;CCND2;BCL2;FOLR2;E2F1;LIFR;WWTR1;EZH2;FGFR1;GRK5;ADRA2A;PDGFD;IGF1;WNT2;ID2;HDAC4;IL11RA;HBEGF;MAPK15;S100B;CEACAM6;HILPDA;NTRK2;IL6R;PDGFRA;TOX;MYC;ZFPM2;BST1;EPCAM;RTKN2;FOSL1;AREG;KRT6A
GO:0007094,mitotic spindle assembly checkpoint signaling (GO:0007094),21,10,1.44812827,6.905465635,4.07E-07,1.22E-04,991;701;4085;5347;1063;11130;699;9319;9735;7272,KNTC1;CENPF;TTK;TRIP13;CDC20;PLK1;BUB1;BUB1B;MAD2L1;ZWINT
GO:0071174,mitotic spindle checkpoint signaling (GO:0071174),21,10,1.44812827,6.905465635,4.07E-07,1.22E-04,991;701;4085;5347;1063;11130;699;9319;9735;7272,KNTC1;CENPF;TTK;TRIP13;CDC20;PLK1;BUB1;BUB1B;MAD2L1;ZWINT
GO:0071173,spindle assembly checkpoint signaling (GO:0071173),21,10,1.44812827,6.905465635,4.07E-07,1.22E-04,991;701;4085;5347;1063;11130;699;9319;9735;7272,KNTC1;CENPF;TTK;TRIP13;CDC20;PLK1;BUB1;BUB1B;MAD2L1;ZWINT
GO:0000281,mitotic cytokinesis (GO:0000281),48,15,3.310007473,4.531711823,4.31E-07,1.22E-04,388;1894;11113;5347;24137;29127;9493;9700;54443;1058;51203;10112;55165;26586;3925,KIF4A;KIF20A;CENPA;PLK1;RHOB;KIF23;NUSAP1;CIT;CEP55;ECT2;ANLN;ESPL1;RACGAP1;CKAP2;STMN1
GO:0031055,chromatin remodeling at centromere (GO:0031055),31,12,2.13771316,5.61347529,4.48E-07,1.22E-04,387103;1058;54069;64946;2491;64105;91687;79019;79172;55355;11339;3070,HJURP;CENPA;MIS18A;CENPO;CENPH;OIP5;CENPK;CENPI;CENPL;CENPM;HELLS;CENPW
GO:0045841,negative regulation of mitotic metaphase/anaphase transition (GO:0045841),22,10,1.517086759,6.591580833,7.00E-07,1.83E-04,991;701;4085;5347;1063;11130;699;9319;9735;7272,KNTC1;CENPF;TTK;TRIP13;CDC20;PLK1;BUB1;BUB1B;MAD2L1;ZWINT
GO:0007409,axonogenesis (GO:0007409),238,38,16.41212039,2.315362007,9.79E-07,2.45E-04,5909;627;54437;9723;7869;56920;4130;9378;6712;9353;6586;3897;152330;322;6285;4131;4897;2048;2045;9638;2042;6324;57549;2674;2676;59352;6387;220164;91624;5649;10381;1944;4684;9369;9260;8633;23022;3908,SLIT3;SEMA5B;NCAM1;RELN;SEMA3G;DOK6;EPHA3;NRXN1;CXCL12;GFRA3;NEXN;EPHA7;LAMA2;SEMA3E;SLIT2;APBB1;PALLD;L1CAM;BDNF;GFRA1;UNC5C;SEMA3B;CNTN4;RAP1GAP;MAP1B;NRCAM;MAP1A;SCN1B;S100B;TUBB3;LGR6;FEZ1;EPHB2;IGSF9;SPTBN2;EFNA3;NRXN3;PDLIM7
GO:0061640,cytoskeleton-dependent cytokinesis (GO:0061640),59,16,4.068550853,3.932604158,1.52E-06,3.65E-04,388;1894;11113;9212;5347;24137;29127;9493;9700;54443;1058;51203;10112;55165;26586;3925,KIF4A;KIF20A;CENPA;PLK1;RHOB;KIF23;NUSAP1;CIT;AURKB;CEP55;ECT2;ANLN;ESPL1;RACGAP1;CKAP2;STMN1
GO:0061641,CENP-A containing chromatin organization (GO:0061641),29,11,1.999796182,5.500560557,1.73E-06,3.85E-04,387103;1058;54069;64946;2491;64105;91687;79019;79172;55355;11339,HJURP;CENPA;MIS18A;CENPO;CENPH;OIP5;CENPK;CENPI;CENPL;CENPM;CENPW
GO:0034080,CENP-A containing nucleosome assembly (GO:0034080),29,11,1.999796182,5.500560557,1.73E-06,3.85E-04,387103;1058;54069;64946;2491;64105;91687;79019;79172;55355;11339,HJURP;CENPA;MIS18A;CENPO;CENPH;OIP5;CENPK;CENPI;CENPL;CENPM;CENPW
GO:0048522,positive regulation of cellular process (GO:0048522),617,74,42.54738773,1.739237212,1.87E-06,4.01E-04,7538;32;2252;7168;9472;4915;3479;150;7048;2621;9928;3569;3570;857;5737;2869;2350;6722;4130;596;3853;7122;1111;4609;11076;6659;6285;6387;9759;8309;2247;653;1959;6262;6422;7472;8324;5563;5156;3373;225689;6376;1839;8317;2305;22943;4680;8061;990;332;2260;3590;3572;1440;146433;3977;29923;81035;85480;2146;374;25937;6886;89958;219790;7272;894;10615;9055;26471;4072;683;80310;7275,CLDN5;IL6;TPPP;ACOX2;ZFP36;PTGFR;SFRP1;TGFBR2;FOXM1;FGF2;SPAG5;BMP5;KIF14;SOX4;SRF;IL34;CXCL12;GAS6;SAPCD2;TTK;FGF7;CDC6;BIRC5;CDC7;TSLP;CSF3;CAV1;HYAL1;ACACB;IL6ST;CX3CL1;PRC1;CCND2;FZD7;BCL2;FOLR2;CHEK1;TPM1;AKAP6;LIFR;WWTR1;EZH2;FGFR1;GRK5;ADRA2A;PDGFD;IGF1;WNT2;HDAC4;COLEC12;IL11RA;HBEGF;EGR2;MAPK15;MAP1A;S100B;CEACAM6;HILPDA;RYR2;NTRK2;IL6R;PDGFRA;MYC;BST1;EPCAM;RTKN2;DKK1;FOSL1;TUB;TAL1;PRKAA2;AREG;KRT6A;NUPR1
GO:0006336,DNA replication-independent nucleosome assembly (GO:0006336),37,12,2.551464094,4.703182,4.00E-06,8.28E-04,387103;1058;54069;64946;2491;64105;91687;79019;79172;55355;11339;55723,HJURP;CENPA;MIS18A;CENPO;CENPH;OIP5;ASF1B;CENPK;CENPI;CENPL;CENPM;CENPW
GO:0030334,regulation of cell migration (GO:0030334),405,53,27.92818806,1.89772426,4.68E-06,9.38E-04,2316;3815;2252;11170;7168;388;4804;10395;3479;150;9928;857;104;10979;154810;54437;9723;7869;56920;4638;9353;7122;2048;59352;6387;91624;2247;6781;6910;6422;5156;225689;6376;3082;1839;91663;4680;4286;5168;3488;25932;9863;51512;2159;4920;8434;117581;89795;127435;131578;9079;80310;285313,F10;FAM107A;CLDN5;SEMA5B;SFRP1;SEMA3G;MYLK;FGF2;KIF14;LDB2;TWIST2;IGSF10;CXCL12;NGFR;MYADM;FGF7;NEXN;CAV1;GTSE1;SEMA3E;RHOB;RECK;SLIT2;PODN;FLNA;CX3CL1;FERMT2;NAV3;SEMA3B;TPM1;MAGI2;ADRA2A;PDGFD;AMOTL1;IGF1;HGF;DLC1;KIT;HBEGF;MAPK15;MITF;CEACAM6;ENPP2;LGR6;CLIC4;PDGFRA;LRRC15;EPHB2;ROR2;ADARB1;STC1;TBX5;IGFBP5
GO:0044772,mitotic cell cycle phase transition (GO:0044772),207,33,14.27440723,2.311829799,5.16E-06,0.001001387,5577;79866;3624;11065;983;6790;5347;891;6502;4609;9833;10763;5243;993;8317;1033;1869;890;9134;898;1978;1104;995;283807;10733;23194;9088;2305;9133;4751;4660;10460;894,AURKA;FOXM1;CCNE1;PPP1R12B;INHBA;UBE2C;NEK2;BORA;CDC7;MELK;CDC25C;PLK1;CCNE2;CCNB2;CCNB1;CDK1;NES;PKMYT1;CCND2;PLK4;CDC25A;SKP2;CCNA2;RCC1;PRKAR2B;E2F1;TACC3;FBXL22;FBXL7;CDKN3;ABCB1;EIF4EBP1;MYC
GO:0048523,negative regulation of cellular process (GO:0048523),561,67,38.68571234,1.731905552,6.67E-06,0.001252435,5167;388;10395;284;3624;3569;2172;104;10979;309;947;6196;563;596;9353;11117;6586;1191;4609;6659;322;2048;4881;2247;3164;7049;64321;653;6910;23208;7483;6422;4487;93649;3373;1033;2305;990;641;23594;3489;1843;7832;9314;1410;9863;144455;83595;4920;25959;58494;9510;11095;863;4345;2192;2273;64061;84722;10290;26471;147906;58189;85004;127435;7041;138151,NR4A1;DUSP1;IL6;SOX17;MYOCD;FHL1;CRYAB;ADAMTS1;SLIT3;WFDC1;JAM2;SFRP1;FOXM1;CD34;NPR1;FGF2;BMP5;TGFBR3;SOX4;KLF4;ADAMTS8;CLU;INHBA;NACC2;BLM;CDC6;ANXA6;HYAL1;RHOB;ORC6;E2F7;RERG;DACT3;SLIT2;PODN;IGFBP6;RPS6KA2;APBB1;KANK2;FERMT2;BCL2;TSPYL2;MSX1;MAGI2;EMILIN1;TGFB1I1;CBFA2T3;CDKN3;SPEG;CD200;DLC1;WNT9A;FBLN1;BTG2;PSRC1;SOX7;EPHB2;ROR2;ADARB1;FABP6;MYC;ANGPT1;SYT11;TBX5;ENPP1;NUPR1;AZGP1
GO:0086012,membrane depolarization during cardiac muscle cell action potential (GO:0086012),17,8,1.172294313,6.824224862,6.90E-06,0.001256449,783;775;287;6330;6324;781;6546;477,ATP1A2;ANK2;SCN4B;CACNB2;SCN1B;CACNA2D1;SLC8A1;CACNA1C
GO:0010564,regulation of cell cycle process (GO:0010564),105,21,7.240641348,2.900295567,8.09E-06,0.001429894,1894;79866;6790;9212;5347;29127;3832;1111;6422;699;1104;995;10733;9088;4751;116028;90293;10112;10615;9055;4288,AURKA;SFRP1;SPAG5;NEK2;BORA;KIF20A;CDC25C;PLK1;BUB1;KIF11;MKI67;PRC1;AURKB;PKMYT1;ECT2;PLK4;RCC1;CHEK1;RACGAP1;KLHL13;RMI2
GO:1904029,regulation of cyclin-dependent protein kinase activity (GO:1904029),53,14,3.654799918,3.83057905,9.52E-06,0.001635752,891;993;1033;890;9134;898;995;9088;9133;990;641;9077;894;1028,CCNE1;BLM;CDC6;CDC25C;CCNE2;CCNB2;CCNB1;PKMYT1;CCND2;CDC25A;CCNA2;CDKN3;CDKN1C;DIRAS3
GO:0060048,cardiac muscle contraction (GO:0060048),34,11,2.344588627,4.691654593,1.04E-05,0.001688416,2934;7168;7139;1756;3757;6330;6324;6262;6546;477;845,ATP1A2;CASQ2;GSN;KCNH2;SCN4B;DMD;TPM1;TNNT2;SCN1B;RYR2;SLC8A1
GO:0014706,striated muscle tissue development (GO:0014706),34,11,2.344588627,4.691654593,1.04E-05,0.001688416,6840;51804;5239;857;4208;140628;6444;653;6495;11149;64091,PGM5;GATA5;BMP5;MEF2C;CAV1;BVES;POPDC2;SIX4;SVIL;SIX1;SGCD
GO:0010880,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880),23,9,1.586045248,5.674491326,1.15E-05,0.001818763,1756;9472;5144;775;287;6262;6546;477;845,ATP1A2;ANK2;CASQ2;PDE4D;DMD;AKAP6;RYR2;SLC8A1;CACNA1C
GO:0060047,heart contraction (GO:0060047),41,12,2.82729805,4.244334975,1.32E-05,0.002030265,7168;70;7139;1756;3757;6330;6324;6444;6262;6546;477;845,ATP1A2;CASQ2;ACTC1;KCNH2;SCN4B;DMD;TPM1;TNNT2;SCN1B;RYR2;SGCD;SLC8A1
GO:1903522,regulation of blood circulation (GO:1903522),35,11,2.413547116,4.557607319,1.42E-05,0.002136573,7168;1674;7139;8912;185;624;5350;8864;5348;10659;27129,FXYD1;DES;AGTR1;CELF2;HSPB7;PER2;PLN;BDKRB2;CACNA1H;TPM1;TNNT2
GO:0090068,positive regulation of cell cycle process (GO:0090068),101,20,6.964807392,2.871579769,1.54E-05,0.002260344,6840;1894;3479;9928;11113;4085;6790;9212;891;29127;9493;10403;2237;8317;10733;990;51203;144455;79733;10615,AURKA;SPAG5;KIF14;CDC6;CDC7;CCNB1;E2F7;NDC80;KIF23;NUSAP1;CIT;AURKB;ECT2;PLK4;FEN1;MAD2L1;RACGAP1;IGF1;SVIL;E2F8
GO:0006939,smooth muscle contraction (GO:0006939),14,7,0.965418846,7.250738916,1.62E-05,0.002320556,1909;4638;624;6546;4629;59;6525,MYLK;ACTA2;BDKRB2;SMTN;EDNRA;MYH11;SLC8A1
GO:0086001,cardiac muscle cell action potential (GO:0086001),30,10,2.068754671,4.833825944,1.96E-05,0.002735254,1756;3757;775;287;6330;6324;781;6546;3752;477,ATP1A2;ANK2;KCNH2;SCN4B;DMD;KCND3;SCN1B;CACNA2D1;SLC8A1;CACNA1C
GO:0048562,embryonic organ morphogenesis (GO:0048562),43,12,2.965215028,4.046924046,2.25E-05,0.003073226,2294;64321;6495;6943;6262;2201;2202;5156;3398;8076;348093;4237,TCF21;FOXF1;SOX17;RBPMS2;MFAP5;ID2;EFEMP1;RYR2;SIX1;FBN2;PDGFRA;MFAP2
GO:0043486,histone exchange (GO:0043486),37,11,2.551464094,4.311250166,2.56E-05,0.003425156,387103;1058;54069;64946;2491;64105;91687;79019;79172;55355;11339,HJURP;CENPA;MIS18A;CENPO;CENPH;OIP5;CENPK;CENPI;CENPL;CENPM;CENPW
GO:0007080,mitotic metaphase plate congression (GO:0007080),51,13,3.51688294,3.696455134,2.99E-05,0.00377755,9928;891;81930;11004;1062;81620;83540;10403;113130;55143;55165;84722;3833,KIF14;KIF2C;CDCA8;CDCA5;NUF2;KIF18A;CCNB1;CDT1;NDC80;KIFC1;CENPE;CEP55;PSRC1
GO:0051726,regulation of cell cycle (GO:0051726),295,40,20.34275426,1.966302079,3.01E-05,0.00377755,388;3624;104;2869;5347;891;6502;6196;1111;4609;322;8864;3164;1063;6422;2627;993;1033;283807;2305;9133;672;1843;332;51514;274;9787;3726;9863;7732;330;3398;64061;26471;4616;3727;4605;55771;1164;1163,NR4A1;DUSP1;JUND;SFRP1;FOXM1;PER2;GATA6;CENPF;INHBA;BIN1;DTL;PRR11;BIRC5;BRCA1;MYBL2;PLK1;CCNB2;CCNB1;RHOB;RNF112;CKS2;RPS6KA2;DLGAP5;APBB1;CKS1B;TSPYL2;CDC25A;SKP2;CHEK1;MAGI2;FBXL22;GRK5;BIRC3;CDKN3;ID2;GADD45B;JUNB;ADARB1;MYC;NUPR1
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079),81,17,5.585637611,3.043520039,3.02E-05,0.00377755,5347;891;93649;993;1033;890;9134;898;995;9088;9133;990;641;9077;84722;894;1028,MYOCD;CCNE1;BLM;CDC6;CDC25C;PLK1;CCNE2;CCNB2;CCNB1;PKMYT1;CCND2;CDC25A;CCNA2;CDKN3;CDKN1C;DIRAS3;PSRC1
GO:0140014,mitotic nuclear division (GO:0140014),74,16,5.102928188,3.135454666,3.49E-05,0.004280271,2316;22974;11065;5347;81930;3832;9700;10403;11130;64105;54892;51203;55143;146909;3833;10615,KIF18B;SPAG5;CDCA8;UBE2C;KIF18A;PLK1;TPX2;NDC80;KIF11;KIFC1;FLNA;NCAPG2;NUSAP1;CENPK;ESPL1;ZWINT
GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),32,10,2.206671649,4.531711823,3.70E-05,0.004449463,81620;6241;1869;898;990;7298;4998;8318;3398;144455,ORC1;CCNE1;CDC6;CDC45;E2F7;CDT1;RRM2;E2F1;ID2;TYMS
GO:0050730,regulation of peptidyl-tyrosine phosphorylation (GO:0050730),91,18,6.275222502,2.868424187,4.12E-05,0.004855431,2252;2690;3479;284;3690;3569;3570;2045;5649;6422;3678;3082;5168;5590;1440;7804;1464;683,IL6;SFRP1;RELN;FGF7;CSF3;EPHA7;GHR;LRP8;IGF1;HGF;ITGA5;ENPP2;CSPG4;ITGB3;IL6R;PRKCZ;ANGPT1;BST1
GO:0086091,regulation of heart rate by cardiac conduction (GO:0086091),39,11,2.689381072,4.090160414,4.42E-05,0.005105318,23704;3757;857;783;775;287;6330;6324;781;3752;274,ANK2;BIN1;CAV1;KCNH2;SCN4B;KCND3;CACNB2;SCN1B;CACNA2D1;KCNE4;CACNA1C
GO:0060402,calcium ion transport into cytosol (GO:0060402),21,8,1.44812827,5.524372508,4.50E-05,0.005105318,775;2906;781;493;6262;57158;6546;7226,JPH2;GRIN2D;TRPM2;ATP2B4;RYR2;CACNA2D1;SLC8A1;CACNA1C
