GO_ID	GO_LABEL_FULL	NUMBER_OF_GENES_IN_REFERENCE	NUMBER_OF_GENES_IN_INPUT	NUMBER_OF_GENES_EXPECTED	+/-	FOLD_ENRICHMENT	RAW_P_VALUE	FDR
GO:1903126	negative regulation of centriole-centriole cohesion (GO:1903126)	1	1	.06	+	17.03	1.08E-01	5.92E-01
GO:1903125	negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation (GO:1903125)	1	1	.06	+	17.03	1.08E-01	5.92E-01
GO:0021629	olfactory nerve structural organization (GO:0021629)	1	1	.06	+	17.03	1.08E-01	5.92E-01
GO:2000896	amylopectin metabolic process (GO:2000896)	1	1	.06	+	17.03	1.08E-01	5.91E-01
GO:0007344	pronuclear fusion (GO:0007344)	1	1	.06	+	17.03	1.08E-01	5.91E-01
GO:0021618	hypoglossal nerve morphogenesis (GO:0021618)	1	1	.06	+	17.03	1.08E-01	5.91E-01
GO:0046086	adenosine biosynthetic process (GO:0046086)	1	1	.06	+	17.03	1.08E-01	5.91E-01
GO:0072303	positive regulation of glomerular metanephric mesangial cell proliferation (GO:0072303)	1	1	.06	+	17.03	1.08E-01	5.91E-01
GO:0071882	phospholipase C-activating adrenergic receptor signaling pathway (GO:0071882)	1	1	.06	+	17.03	1.08E-01	5.90E-01
GO:0071881	adenylate cyclase-inhibiting adrenergic receptor signaling pathway (GO:0071881)	1	1	.06	+	17.03	1.08E-01	5.90E-01
GO:0071877	regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway (GO:0071877)	1	1	.06	+	17.03	1.08E-01	5.90E-01
GO:2001262	positive regulation of semaphorin-plexin signaling pathway (GO:2001262)	1	1	.06	+	17.03	1.08E-01	5.90E-01
GO:0010021	amylopectin biosynthetic process (GO:0010021)	1	1	.06	+	17.03	1.08E-01	5.89E-01
GO:1903096	protein localization to meiotic spindle midzone (GO:1903096)	1	1	.06	+	17.03	1.08E-01	5.89E-01
GO:0021595	rhombomere structural organization (GO:0021595)	1	1	.06	+	17.03	1.08E-01	5.89E-01
GO:0021594	rhombomere formation (GO:0021594)	1	1	.06	+	17.03	1.08E-01	5.89E-01
GO:0021566	hypoglossal nerve development (GO:0021566)	1	1	.06	+	17.03	1.08E-01	5.89E-01
GO:0021541	ammon gyrus development (GO:0021541)	1	1	.06	+	17.03	1.08E-01	5.88E-01
GO:1903011	negative regulation of bone development (GO:1903011)	1	1	.06	+	17.03	1.08E-01	5.88E-01
GO:2000795	negative regulation of epithelial cell proliferation involved in lung morphogenesis (GO:2000795)	1	1	.06	+	17.03	1.08E-01	5.88E-01
GO:0007225	patched ligand maturation (GO:0007225)	1	1	.06	+	17.03	1.08E-01	5.88E-01
GO:0060283	negative regulation of oocyte development (GO:0060283)	1	1	.06	+	17.03	1.08E-01	5.88E-01
GO:2000764	positive regulation of semaphorin-plexin signaling pathway involved in outflow tract morphogenesis (GO:2000764)	1	1	.06	+	17.03	1.08E-01	5.87E-01
GO:2000763	positive regulation of transcription from RNA polymerase II promoter involved in norepinephrine biosynthetic process (GO:2000763)	1	1	.06	+	17.03	1.08E-01	5.87E-01
GO:2000761	positive regulation of N-terminal peptidyl-lysine acetylation (GO:2000761)	1	1	.06	+	17.03	1.08E-01	5.87E-01
GO:2000759	regulation of N-terminal peptidyl-lysine acetylation (GO:2000759)	1	1	.06	+	17.03	1.08E-01	5.87E-01
GO:0072232	metanephric proximal convoluted tubule segment 2 development (GO:0072232)	1	1	.06	+	17.03	1.08E-01	5.87E-01
GO:0072230	metanephric proximal straight tubule development (GO:0072230)	1	1	.06	+	17.03	1.08E-01	5.86E-01
GO:0072220	metanephric descending thin limb development (GO:0072220)	1	1	.06	+	17.03	1.08E-01	5.86E-01
GO:0002384	hepatic immune response (GO:0002384)	2	2	.12	+	17.03	1.71E-02	1.87E-01
GO:0002364	NK T cell lineage commitment (GO:0002364)	1	1	.06	+	17.03	1.08E-01	5.86E-01
GO:0033477	S-methylmethionine metabolic process (GO:0033477)	1	1	.06	+	17.03	1.08E-01	5.86E-01
GO:2001113	negative regulation of cellular response to hepatocyte growth factor stimulus (GO:2001113)	1	1	.06	+	17.03	1.08E-01	5.86E-01
GO:0001899	negative regulation of cytolysis by symbiont of host cells (GO:0001899)	1	1	.06	+	17.03	1.08E-01	5.85E-01
GO:0001898	regulation of cytolysis by symbiont of host cells (GO:0001898)	1	1	.06	+	17.03	1.08E-01	5.85E-01
GO:0071654	positive regulation of chemokine (C-C motif) ligand 1 production (GO:0071654)	1	1	.06	+	17.03	1.08E-01	5.85E-01
GO:0071652	regulation of chemokine (C-C motif) ligand 1 production (GO:0071652)	1	1	.06	+	17.03	1.08E-01	5.85E-01
GO:1990963	establishment of blood-retinal barrier (GO:1990963)	1	1	.06	+	17.03	1.08E-01	5.85E-01
GO:0033316	meiotic spindle assembly checkpoint signaling (GO:0033316)	1	1	.06	+	17.03	1.08E-01	5.84E-01
GO:0033301	cell cycle comprising mitosis without cytokinesis (GO:0033301)	1	1	.06	+	17.03	1.08E-01	5.84E-01
GO:0072032	proximal convoluted tubule segment 2 development (GO:0072032)	1	1	.06	+	17.03	1.08E-01	5.84E-01
GO:0032877	positive regulation of DNA endoreduplication (GO:0032877)	2	2	.12	+	17.03	1.71E-02	1.87E-01
GO:2000548	negative regulation of dendritic cell dendrite assembly (GO:2000548)	1	1	.06	+	17.03	1.08E-01	5.84E-01
GO:0072022	descending thin limb development (GO:0072022)	1	1	.06	+	17.03	1.08E-01	5.84E-01
GO:0072020	proximal straight tubule development (GO:0072020)	1	1	.06	+	17.03	1.08E-01	5.83E-01
GO:2000533	negative regulation of renal albumin absorption (GO:2000533)	1	1	.06	+	17.03	1.08E-01	5.83E-01
GO:0038154	interleukin-11-mediated signaling pathway (GO:0038154)	3	3	.18	+	17.03	3.00E-03	5.05E-02
GO:0032848	negative regulation of cellular pH reduction (GO:0032848)	1	1	.06	+	17.03	1.08E-01	5.83E-01
GO:1902319	DNA strand elongation involved in nuclear cell cycle DNA replication (GO:1902319)	1	1	.06	+	17.03	1.08E-01	5.83E-01
GO:0006539	glutamate catabolic process via 2-oxoglutarate (GO:0006539)	1	1	.06	+	17.03	1.08E-01	5.83E-01
GO:1901898	negative regulation of relaxation of cardiac muscle (GO:1901898)	2	2	.12	+	17.03	1.71E-02	1.87E-01
GO:0051945	negative regulation of catecholamine uptake involved in synaptic transmission (GO:0051945)	1	1	.06	+	17.03	1.08E-01	5.82E-01
GO:1901875	positive regulation of post-translational protein modification (GO:1901875)	1	1	.06	+	17.03	1.08E-01	5.82E-01
GO:0051915	induction of synaptic plasticity by chemical substance (GO:0051915)	1	1	.06	+	17.03	1.08E-01	5.82E-01
GO:0051914	positive regulation of synaptic plasticity by chemical substance (GO:0051914)	1	1	.06	+	17.03	1.08E-01	5.82E-01
GO:0051913	regulation of synaptic plasticity by chemical substance (GO:0051913)	1	1	.06	+	17.03	1.08E-01	5.82E-01
GO:1901835	positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA (GO:1901835)	1	1	.06	+	17.03	1.08E-01	5.81E-01
GO:1901834	regulation of deadenylation-independent decapping of nuclear-transcribed mRNA (GO:1901834)	1	1	.06	+	17.03	1.08E-01	5.81E-01
GO:0090673	endothelial cell-matrix adhesion (GO:0090673)	1	1	.06	+	17.03	1.08E-01	5.81E-01
GO:1901826	zeaxanthin catabolic process (GO:1901826)	1	1	.06	+	17.03	1.08E-01	5.81E-01
GO:0033242	negative regulation of cellular amine catabolic process (GO:0033242)	1	1	.06	+	17.03	1.08E-01	5.81E-01
GO:0033241	regulation of cellular amine catabolic process (GO:0033241)	1	1	.06	+	17.03	1.08E-01	5.80E-01
GO:0033215	reductive iron assimilation (GO:0033215)	1	1	.06	+	17.03	1.08E-01	5.80E-01
GO:2000476	positive regulation of opioid receptor signaling pathway (GO:2000476)	1	1	.06	+	17.03	1.08E-01	5.80E-01
GO:2000469	negative regulation of peroxidase activity (GO:2000469)	1	1	.06	+	17.03	1.08E-01	5.80E-01
GO:0038097	positive regulation of mast cell activation by Fc-epsilon receptor signaling pathway (GO:0038097)	1	1	.06	+	17.03	1.08E-01	5.80E-01
GO:1902298	cell cycle DNA replication maintenance of fidelity (GO:1902298)	2	2	.12	+	17.03	1.71E-02	1.87E-01
GO:1902296	DNA strand elongation involved in cell cycle DNA replication (GO:1902296)	1	1	.06	+	17.03	1.08E-01	5.79E-01
GO:2000431	regulation of cytokinesis, actomyosin contractile ring assembly (GO:2000431)	1	1	.06	+	17.03	1.08E-01	5.79E-01
GO:2000420	negative regulation of eosinophil extravasation (GO:2000420)	1	1	.06	+	17.03	1.08E-01	5.79E-01
GO:2000419	regulation of eosinophil extravasation (GO:2000419)	1	1	.06	+	17.03	1.08E-01	5.79E-01
GO:1902239	negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator (GO:1902239)	1	1	.06	+	17.03	1.08E-01	5.79E-01
GO:1902238	regulation of intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator (GO:1902238)	1	1	.06	+	17.03	1.08E-01	5.78E-01
GO:1902203	negative regulation of hepatocyte growth factor receptor signaling pathway (GO:1902203)	1	1	.06	+	17.03	1.08E-01	5.78E-01
GO:1990792	cellular response to glial cell derived neurotrophic factor (GO:1990792)	2	2	.12	+	17.03	1.71E-02	1.87E-01
GO:1990790	response to glial cell derived neurotrophic factor (GO:1990790)	2	2	.12	+	17.03	1.71E-02	1.87E-01
GO:0006421	asparaginyl-tRNA aminoacylation (GO:0006421)	3	3	.18	+	17.03	3.00E-03	5.04E-02
GO:0045108	regulation of intermediate filament polymerization or depolymerization (GO:0045108)	1	1	.06	+	17.03	1.08E-01	5.78E-01
GO:0032686	negative regulation of hepatocyte growth factor production (GO:0032686)	1	1	.06	+	17.03	1.08E-01	5.78E-01
GO:2000324	positive regulation of glucocorticoid receptor signaling pathway (GO:2000324)	1	1	.06	+	17.03	1.08E-01	5.78E-01
GO:0032646	regulation of hepatocyte growth factor production (GO:0032646)	1	1	.06	+	17.03	1.08E-01	5.77E-01
GO:1902104	positive regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902104)	1	1	.06	+	17.03	1.08E-01	5.77E-01
GO:2000283	negative regulation of cellular amino acid biosynthetic process (GO:2000283)	1	1	.06	+	17.03	1.08E-01	5.77E-01
GO:0140200	adenylate cyclase-activating adrenergic receptor signaling pathway involved in regulation of heart rate (GO:0140200)	1	1	.06	+	17.03	1.08E-01	5.77E-01
GO:0099642	retrograde axonal protein transport (GO:0099642)	2	2	.12	+	17.03	1.71E-02	1.87E-01
GO:0044533	positive regulation of apoptotic process in another organism (GO:0044533)	1	1	.06	+	17.03	1.08E-01	5.77E-01
GO:0044532	modulation of apoptotic process in another organism (GO:0044532)	1	1	.06	+	17.03	1.08E-01	5.76E-01
GO:1902078	positive regulation of lateral motor column neuron migration (GO:1902078)	1	1	.06	+	17.03	1.08E-01	5.76E-01
GO:1902076	regulation of lateral motor column neuron migration (GO:1902076)	1	1	.06	+	17.03	1.08E-01	5.76E-01
GO:0099607	lateral attachment of mitotic spindle microtubules to kinetochore (GO:0099607)	1	1	.06	+	17.03	1.08E-01	5.76E-01
GO:0099606	microtubule plus-end directed mitotic chromosome migration (GO:0099606)	1	1	.06	+	17.03	1.08E-01	5.76E-01
GO:0000921	septin ring assembly (GO:0000921)	1	1	.06	+	17.03	1.08E-01	5.75E-01
GO:1905935	positive regulation of cell fate determination (GO:1905935)	1	1	.06	+	17.03	1.08E-01	5.75E-01
GO:0051622	negative regulation of norepinephrine uptake (GO:0051622)	1	1	.06	+	17.03	1.08E-01	5.75E-01
GO:1901557	response to fenofibrate (GO:1901557)	1	1	.06	+	17.03	1.08E-01	5.75E-01
GO:1990505	mitotic DNA replication maintenance of fidelity (GO:1990505)	2	2	.12	+	17.03	1.71E-02	1.86E-01
GO:0140194	negative regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process (GO:0140194)	1	1	.06	+	17.03	1.08E-01	5.75E-01
GO:0140193	regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process (GO:0140193)	1	1	.06	+	17.03	1.08E-01	5.74E-01
GO:0090321	positive regulation of chylomicron remnant clearance (GO:0090321)	1	1	.06	+	17.03	1.08E-01	5.74E-01
GO:0090320	regulation of chylomicron remnant clearance (GO:0090320)	1	1	.06	+	17.03	1.08E-01	5.74E-01
GO:0099551	trans-synaptic signaling by neuropeptide, modulating synaptic transmission (GO:0099551)	1	1	.06	+	17.03	1.08E-01	5.74E-01
GO:0099540	trans-synaptic signaling by neuropeptide (GO:0099540)	1	1	.06	+	17.03	1.08E-01	5.74E-01
GO:0051585	negative regulation of dopamine uptake involved in synaptic transmission (GO:0051585)	1	1	.06	+	17.03	1.08E-01	5.74E-01
GO:0051545	negative regulation of elastin biosynthetic process (GO:0051545)	1	1	.06	+	17.03	1.08E-01	5.73E-01
GO:0051543	regulation of elastin biosynthetic process (GO:0051543)	1	1	.06	+	17.03	1.08E-01	5.73E-01
GO:1990426	mitotic recombination-dependent replication fork processing (GO:1990426)	2	2	.12	+	17.03	1.71E-02	1.86E-01
GO:0090246	convergent extension involved in somitogenesis (GO:0090246)	1	1	.06	+	17.03	1.08E-01	5.73E-01
GO:2000080	negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation (GO:2000080)	1	1	.06	+	17.03	1.08E-01	5.73E-01
GO:0044345	stromal-epithelial cell signaling involved in prostate gland development (GO:0044345)	1	1	.06	+	17.03	1.08E-01	5.73E-01
GO:0106135	negative regulation of cardiac muscle cell contraction (GO:0106135)	1	1	.06	+	17.03	1.08E-01	5.72E-01
GO:0000741	karyogamy (GO:0000741)	1	1	.06	+	17.03	1.08E-01	5.72E-01
GO:0098990	AMPA selective glutamate receptor signaling pathway (GO:0098990)	1	1	.06	+	17.03	1.08E-01	5.72E-01
GO:0090177	establishment of planar polarity involved in neural tube closure (GO:0090177)	1	1	.06	+	17.03	1.08E-01	5.72E-01
GO:0048685	negative regulation of collateral sprouting of intact axon in response to injury (GO:0048685)	1	1	.06	+	17.03	1.08E-01	5.72E-01
GO:0048683	regulation of collateral sprouting of intact axon in response to injury (GO:0048683)	1	1	.06	+	17.03	1.08E-01	5.71E-01
GO:0090138	regulation of actin cytoskeleton organization by cell-cell adhesion (GO:0090138)	1	1	.06	+	17.03	1.08E-01	5.71E-01
GO:0090126	protein-containing complex assembly involved in synapse maturation (GO:0090126)	1	1	.06	+	17.03	1.08E-01	5.71E-01
GO:0090122	cholesterol ester hydrolysis involved in cholesterol transport (GO:0090122)	1	1	.06	+	17.03	1.08E-01	5.71E-01
GO:0070512	positive regulation of histone H4-K20 methylation (GO:0070512)	1	1	.06	+	17.03	1.08E-01	5.71E-01
GO:0070510	regulation of histone H4-K20 methylation (GO:0070510)	1	1	.06	+	17.03	1.08E-01	5.70E-01
GO:0050929	induction of negative chemotaxis (GO:0050929)	1	1	.06	+	17.03	1.08E-01	5.70E-01
GO:0050924	positive regulation of negative chemotaxis (GO:0050924)	1	1	.06	+	17.03	1.08E-01	5.70E-01
GO:0048613	embryonic ectodermal digestive tract morphogenesis (GO:0048613)	1	1	.06	+	17.03	1.08E-01	5.70E-01
GO:0106028	neuron projection retraction (GO:0106028)	1	1	.06	+	17.03	1.08E-01	5.70E-01
GO:0106022	positive regulation of vesicle docking (GO:0106022)	1	1	.06	+	17.03	1.08E-01	5.69E-01
GO:1901296	negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:1901296)	1	1	.06	+	17.03	1.08E-01	5.69E-01
GO:1905627	regulation of serotonin biosynthetic process (GO:1905627)	1	1	.06	+	17.03	1.08E-01	5.69E-01
GO:0051322	anaphase (GO:0051322)	1	1	.06	+	17.03	1.08E-01	5.69E-01
GO:0090096	positive regulation of metanephric cap mesenchymal cell proliferation (GO:0090096)	1	1	.06	+	17.03	1.08E-01	5.69E-01
GO:0090095	regulation of metanephric cap mesenchymal cell proliferation (GO:0090095)	1	1	.06	+	17.03	1.08E-01	5.68E-01
GO:1905608	positive regulation of presynapse assembly (GO:1905608)	1	1	.06	+	17.03	1.08E-01	5.68E-01
GO:1905607	negative regulation of presynapse assembly (GO:1905607)	1	1	.06	+	17.03	1.08E-01	5.68E-01
GO:0009810	stilbene metabolic process (GO:0009810)	1	1	.06	+	17.03	1.08E-01	5.68E-01
GO:0070473	negative regulation of uterine smooth muscle contraction (GO:0070473)	1	1	.06	+	17.03	1.08E-01	5.68E-01
GO:0048567	ectodermal digestive tract morphogenesis (GO:0048567)	1	1	.06	+	17.03	1.08E-01	5.68E-01
GO:0120256	olefinic compound catabolic process (GO:0120256)	1	1	.06	+	17.03	1.08E-01	5.67E-01
GO:1900753	doxorubicin transport (GO:1900753)	1	1	.06	+	17.03	1.08E-01	5.67E-01
GO:1900731	positive regulation of adenylate cyclase-inhibiting opioid receptor signaling pathway (GO:1900731)	1	1	.06	+	17.03	1.08E-01	5.67E-01
GO:1900729	regulation of adenylate cyclase-inhibiting opioid receptor signaling pathway (GO:1900729)	1	1	.06	+	17.03	1.08E-01	5.67E-01
GO:0098786	biofilm matrix disassembly (GO:0098786)	1	1	.06	+	17.03	1.08E-01	5.67E-01
GO:0098784	biofilm matrix organization (GO:0098784)	1	1	.06	+	17.03	1.08E-01	5.66E-01
GO:0098736	negative regulation of the force of heart contraction (GO:0098736)	1	1	.06	+	17.03	1.08E-01	5.66E-01
GO:1901176	lycopene catabolic process (GO:1901176)	1	1	.06	+	17.03	1.08E-01	5.66E-01
GO:1901175	lycopene metabolic process (GO:1901175)	1	1	.06	+	17.03	1.08E-01	5.66E-01
GO:1905520	positive regulation of presynaptic active zone assembly (GO:1905520)	1	1	.06	+	17.03	1.08E-01	5.66E-01
GO:0098725	symmetric cell division (GO:0098725)	1	1	.06	+	17.03	1.08E-01	5.65E-01
GO:1990127	intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator (GO:1990127)	1	1	.06	+	17.03	1.08E-01	5.65E-01
GO:1905518	regulation of presynaptic active zone assembly (GO:1905518)	1	1	.06	+	17.03	1.08E-01	5.65E-01
GO:0120181	focal adhesion disassembly (GO:0120181)	1	1	.06	+	17.03	1.08E-01	5.65E-01
GO:0120180	cell-substrate junction disassembly (GO:0120180)	1	1	.06	+	17.03	1.08E-01	5.65E-01
GO:0098694	regulation of synaptic vesicle budding from presynaptic endocytic zone membrane (GO:0098694)	1	1	.06	+	17.03	1.08E-01	5.65E-01
GO:1905485	positive regulation of motor neuron migration (GO:1905485)	1	1	.06	+	17.03	1.08E-01	5.64E-01
GO:1905483	regulation of motor neuron migration (GO:1905483)	1	1	.06	+	17.03	1.08E-01	5.64E-01
GO:0031550	positive regulation of brain-derived neurotrophic factor receptor signaling pathway (GO:0031550)	2	2	.12	+	17.03	1.71E-02	1.86E-01
GO:0070285	pigment cell development (GO:0070285)	1	1	.06	+	17.03	1.08E-01	5.64E-01
GO:1904998	negative regulation of leukocyte adhesion to arterial endothelial cell (GO:1904998)	1	1	.06	+	17.03	1.08E-01	5.64E-01
GO:0120072	positive regulation of pyloric antrum smooth muscle contraction (GO:0120072)	1	1	.06	+	17.03	1.08E-01	5.64E-01
GO:0120071	regulation of pyloric antrum smooth muscle contraction (GO:0120071)	1	1	.06	+	17.03	1.08E-01	5.63E-01
GO:1904935	positive regulation of cell proliferation in midbrain (GO:1904935)	1	1	.06	+	17.03	1.08E-01	5.63E-01
GO:0120042	negative regulation of macrophage proliferation (GO:0120042)	1	1	.06	+	17.03	1.08E-01	5.63E-01
GO:0036333	hepatocyte homeostasis (GO:0036333)	1	1	.06	+	17.03	1.08E-01	5.63E-01
GO:1904905	negative regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904905)	1	1	.06	+	17.03	1.08E-01	5.63E-01
GO:1905359	protein localization to meiotic spindle (GO:1905359)	1	1	.06	+	17.03	1.08E-01	5.62E-01
GO:1905355	spine apparatus assembly (GO:1905355)	1	1	.06	+	17.03	1.08E-01	5.62E-01
GO:1905341	negative regulation of protein localization to kinetochore (GO:1905341)	1	1	.06	+	17.03	1.08E-01	5.62E-01
GO:0051041	positive regulation of calcium-independent cell-cell adhesion (GO:0051041)	1	1	.06	+	17.03	1.08E-01	5.62E-01
GO:0031443	fast-twitch skeletal muscle fiber contraction (GO:0031443)	1	1	.06	+	17.03	1.08E-01	5.62E-01
GO:1905317	inferior endocardial cushion morphogenesis (GO:1905317)	1	1	.06	+	17.03	1.08E-01	5.62E-01
GO:0070194	synaptonemal complex disassembly (GO:0070194)	2	2	.12	+	17.03	1.71E-02	1.86E-01
GO:1904887	Wnt signalosome assembly (GO:1904887)	1	1	.06	+	17.03	1.08E-01	5.61E-01
GO:0070145	mitochondrial asparaginyl-tRNA aminoacylation (GO:0070145)	1	1	.06	+	17.03	1.08E-01	5.61E-01
GO:1900477	negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter (GO:1900477)	1	1	.06	+	17.03	1.08E-01	5.61E-01
GO:1900450	negative regulation of glutamate receptor signaling pathway (GO:1900450)	1	1	.06	+	17.03	1.08E-01	5.61E-01
GO:0043375	CD8-positive, alpha-beta T cell lineage commitment (GO:0043375)	2	2	.12	+	17.03	1.71E-02	1.86E-01
GO:0035759	mesangial cell-matrix adhesion (GO:0035759)	2	2	.12	+	17.03	1.71E-02	1.86E-01
GO:0009444	pyruvate oxidation (GO:0009444)	1	1	.06	+	17.03	1.08E-01	5.61E-01
GO:0070091	glucagon secretion (GO:0070091)	1	1	.06	+	17.03	1.08E-01	5.60E-01
GO:1904777	negative regulation of protein localization to cell cortex (GO:1904777)	1	1	.06	+	17.03	1.08E-01	5.60E-01
GO:1904723	negative regulation of Wnt-Frizzled-LRP5/6 complex assembly (GO:1904723)	1	1	.06	+	17.03	1.08E-01	5.60E-01
GO:0030844	positive regulation of intermediate filament depolymerization (GO:0030844)	1	1	.06	+	17.03	1.08E-01	5.60E-01
GO:0030842	regulation of intermediate filament depolymerization (GO:0030842)	1	1	.06	+	17.03	1.08E-01	5.60E-01
GO:1904711	regulation of Wnt-Frizzled-LRP5/6 complex assembly (GO:1904711)	1	1	.06	+	17.03	1.08E-01	5.59E-01
GO:0061999	regulation of cardiac endothelial to mesenchymal transition (GO:0061999)	1	1	.06	+	17.03	1.08E-01	5.59E-01
GO:1905188	positive regulation of metaphase/anaphase transition of meiosis I (GO:1905188)	1	1	.06	+	17.03	1.08E-01	5.59E-01
GO:1905186	regulation of metaphase/anaphase transition of meiosis I (GO:1905186)	1	1	.06	+	17.03	1.08E-01	5.59E-01
GO:0035645	enteric smooth muscle cell differentiation (GO:0035645)	1	1	.06	+	17.03	1.08E-01	5.59E-01
GO:1905134	positive regulation of meiotic chromosome separation (GO:1905134)	1	1	.06	+	17.03	1.08E-01	5.59E-01
GO:1905116	positive regulation of lateral attachment of mitotic spindle microtubules to kinetochore (GO:1905116)	1	1	.06	+	17.03	1.08E-01	5.58E-01
GO:1905115	regulation of lateral attachment of mitotic spindle microtubules to kinetochore (GO:1905115)	1	1	.06	+	17.03	1.08E-01	5.58E-01
GO:1904631	response to glucoside (GO:1904631)	1	1	.06	+	17.03	1.08E-01	5.58E-01
GO:0061881	positive regulation of anterograde axonal transport of mitochondrion (GO:0061881)	1	1	.06	+	17.03	1.08E-01	5.58E-01
GO:0061880	regulation of anterograde axonal transport of mitochondrion (GO:0061880)	1	1	.06	+	17.03	1.08E-01	5.58E-01
GO:0061874	positive regulation of hepatic stellate cell contraction (GO:0061874)	1	1	.06	+	17.03	1.08E-01	5.57E-01
GO:0061873	regulation of hepatic stellate cell contraction (GO:0061873)	1	1	.06	+	17.03	1.08E-01	5.57E-01
GO:0061870	positive regulation of hepatic stellate cell migration (GO:0061870)	2	2	.12	+	17.03	1.71E-02	1.86E-01
GO:0000090	mitotic anaphase (GO:0000090)	1	1	.06	+	17.03	1.08E-01	5.57E-01
GO:0061869	regulation of hepatic stellate cell migration (GO:0061869)	2	2	.12	+	17.03	1.71E-02	1.86E-01
GO:1905067	negative regulation of canonical Wnt signaling pathway involved in heart development (GO:1905067)	1	1	.06	+	17.03	1.08E-01	5.57E-01
GO:0035543	positive regulation of SNARE complex assembly (GO:0035543)	1	1	.06	+	17.03	1.08E-01	5.57E-01
