TERM_ID	TERM	OVERLAPP_VALUE	ADJUSTED_P_VALUE	OLD_P_VALUE	OLD_ADJUSTED_P_VALUE	ODDS_RATIO	COMBINED_SCORE	GENES
GO:0042803	protein homodimerization activity (GO:0042803)	64/636	2.744805221795814E-5	0.0016423084577078288	0	0	1.8105621086987547	19.016723732172874	TOP2A;MYOM1;TFRC;HSPB6;CPQ;LRRK2;HSPB8;PTH1R;SYNE1;GHR;GLIPR2;RBPMS2;ENPP1;AOX1;IL6R;KCNH2;PDGFRA;TPM2;TPM1;DARS2;IRAK3;FOXP2;ADRA2A;NAALADL1;ACOX2;HAND2;CEACAM5;KIT;CASQ2;MASP1;CRYAB;PAFAH1B3;ATF3;MGLL;BLM;SRF;ODC1;ADRB2;RAP1GAP;RASIP1;FBLN5;PLN;MTHFD1L;NACC2;FLNA;TPPP;SLIT2;ECT2;CRYM;PDLIM4;NTRK2;CADM3;RBPMS;ZBTB16;EPHX2;PDE2A;INHBB;S100B;CENPF;NR4A3;BCL2;C16ORF89;MAD2L1;FGFR1
GO:0019901	protein kinase binding (GO:0019901)	53/506	4.64660539970337E-5	0.0025663559053746305	0	0	1.887180561536641	18.828001387050097	TOP2A;RYR2;TFRC;DIRAS1;KIF14;PRKAG2;KIF11;FOXM1;RND3;CKS1B;GHR;ZFP36;CCND2;RAC3;DACT3;DUSP5;BORA;PRKCB;DUSP1;RHOH;UNC5C;ANK2;IRAK3;DUSP8;CDC25C;MAPK8IP2;CDC25A;ADRA2A;CIT;RHOB;CCNA2;ACTA2;CKS2;IRF5;ROR2;KIF20A;GATA6;ADCY4;PHYHIP;AURKA;CCNB1;RACGAP1;GRK5;PRKAR2B;CAV1;PLK1;ESR1;TPX2;NR4A3;NBEA;PRC1;CSPG4;FERMT2
GO:0019887	protein kinase regulator activity (GO:0019887)	17/98	6.19230171912842E-5	0.003175766167381575	0	0	3.348013544492818	32.440974322543056	CDKN1C;GMFG;PRKAG2;PARVA;CCNA2;CCNB2;SOCS3;TPX2;CCNB1;CCND2;CCNE2;CCNE1;PRKAR2B;PPP1R1B;NCKAP1L;FGF13;SNCA
GO:0019900	kinase binding (GO:0019900)	48/461	1.203389545693772E-4	0.005760224625387522	0	0	1.8705458427866009	16.8820469275397	MYOM1;TFRC;GATA6;KIF14;PRKAG2;KIF11;FOXM1;RND3;MYOM2;AURKB;CKS1B;AURKA;GHR;ZFP36;CCNB1;CCND2;RACGAP1;FLNA;RAC3;GSN;BORA;CAV1;PLK1;RHOH;UNC5C;ANK2;IRAK3;CDC6;CDC25C;MAPK8IP2;ESR1;CDC25A;ADRA2A;CIT;RHOB;CCNA2;ACTA2;TPX2;PER1;NR4A3;DLG2;NBEA;PRC1;CKS2;CSPG4;IRF5;KIF20A;FERMT2
GO:0051371	muscle alpha-actinin binding (GO:0051371)	6/15	1.3824805079088153E-4	0.006141664784034118	0	0	10.576652601969057	93.98901103587781	PDLIM3;PALLD;SYNPO2;LDB3;PDLIM4;PDLIM7
GO:0008179	adenylate cyclase binding (GO:0008179)	5/10	1.4541546146041784E-4	0.006141664784034118	0	0	15.854974704890388	140.0932193013071	AKAP12;AKAP6;ADCY2;CAP2;ADCY5
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	37/333	1.969559792212556E-4	0.007856355171158973	0	0	2.0053076256499134	17.110348096583433	HLF;SRF;TCF21;SIX1;MEOX2;SOX17;CREB3L1;MYC;MYB;PRDM16;E2F2;MYBL2;OTX1;SOX4;EGR1;MEF2C;EGR2;FOXF1;ZBTB16;MITF;KLF4;TBX5;SOX10;ESR1;KLF15;ETV4;NR4A2;NR4A1;KLF6;NR4A3;NFIA;NFIB;HAND2;MAFF;PGR;IRF5;ATF3
GO:0030551	cyclic nucleotide binding (GO:0030551)	7/23	2.748587751455441E-4	0.010386768450236878	0	0	6.944203969594595	56.93728618258544	POPDC2;PDE4D;PDE2A;PDE4B;PDE5A;BVES;SLC19A1
GO:0003690	double-stranded DNA binding (GO:0003690)	61/651	3.040699473779781E-4	0.010916111110869414	0	0	1.6669551522423878	13.499424217395266	FEN1;TCF21;HMGB3;SIX1;MEOX2;MEOX1;NR3C2;SIX4;CREB3L1;MYBL2;PITX2;JUNB;PITX1;SOX7;SOX4;PKNOX2;MEF2C;TFEB;FOS;SOX10;KLF15;ETV4;HIC1;HAND2;IRF5;ATF3;JDP2;CREB5;NFIX;HLF;CEBPD;UHRF1;SRF;GATA6;CREM;GATA5;RAD51AP1;E2F1;E2F2;MSX1;OTX1;E2F7;E2F8;EGR1;EGR2;JUND;EGR3;NR2F1;KLF4;ESR1;KLF2;NFATC4;POU6F1;FOSL1;NR4A2;NR4A1;KLF6;RAD51;NFIB;MAFF;FOSB
GO:0051393	alpha-actinin binding (GO:0051393)	7/24	3.6821516577184956E-4	0.012358498766715244	0	0	6.53537360890302	51.67417373241941	PDLIM3;PALLD;SYNPO2;LDB3;CACNA1C;PDLIM4;PDLIM7
GO:0050998	nitric-oxide synthase binding (GO:0050998)	4/7	3.7867266416119136E-4	0.012358498766715244	0	0	21.124403257511936	166.43575975297273	CAV1;ATP2B4;DMD;SNTA1
GO:0030552	cAMP binding (GO:0030552)	5/12	4.1330923984907376E-4	0.012902436270071085	0	0	11.323777403035413	88.22711085332253	POPDC2;PDE4D;PDE2A;PDE4B;BVES
GO:0000217	DNA secondary structure binding (GO:0000217)	8/33	5.627888682377232E-4	0.016836766974778553	0	0	5.0810481825866445	38.01948167914991	RAD51AP1;RECQL4;BLM;MEF2C;XRCC2;HAND2;HMGB3;CLSPN
GO:0004175	endopeptidase activity (GO:0004175)	34/315	5.93761621327825E-4	0.016843084403197588	0	0	1.9376163042843038	14.394614749033966	PCSK2;TPSD1;TPSB2;C1S;C1R;PCSK7;ECE2;ADAMTS12;USP18;THSD4;ADAMTSL1;ADAMTS4;ADAMTS15;ADAMTS5;ADAMTSL4;ADAMTS1;ADAMTSL3;CTSG;CTSF;TPSAB1;ADAMTS8;ADAMTS9;F10;MMP1;F12;HGF;USP2;ADAM33;MMP12;MMP11;SFRP1;MMP13;ESPL1;MASP1
GO:0017116	single-stranded DNA helicase activity (GO:0017116)	6/19	6.099167054082692E-4	0.016843084403197588	0	0	7.320740019474196	54.18949508457198	PIF1;POLQ;RAD51;DSCC1;DNA2;MCM2
GO:0048495	Roundabout binding (GO:0048495)	4/8	7.216046807789755E-4	0.017648452433159833	0	0	15.8424599831508	114.60487994425034	TGFB1I1;SLIT3;SLIT2;LGR6
GO:0035173	histone kinase activity (GO:0035173)	4/8	7.216046807789755E-4	0.017648452433159833	0	0	15.8424599831508	114.60487994425034	PRKAA2;CDK1;AURKB;AURKA
GO:0019199	transmembrane receptor protein kinase activity (GO:0019199)	11/60	7.37400519491358E-4	0.017648452433159833	0	0	3.569007263922518	25.74103435339302	PDGFRA;NTRK2;EPHA7;AXL;KIT;ROR1;ROR2;EPHB2;EPHA3;TGFBR2;FGFR1
GO:0004714	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	11/60	7.37400519491358E-4	0.017648452433159833	0	0	3.569007263922518	25.74103435339302	PDGFRA;NTRK2;EPHA7;EFEMP1;AXL;KIT;ROR1;ROR2;EPHB2;EPHA3;FGFR1
GO:0008237	metallopeptidase activity (GO:0008237)	17/121	8.249948624974774E-4	0.019107945524941574	0	0	2.6043850740400996	18.491481447853264	MMP1;ADAM33;ECE2;ADAMTS12;THSD4;ADAMTSL1;ADAMTS4;MMP12;ADAMTS15;ADAMTS5;MMP11;MMP13;ADAMTS1;ADAMTSL4;ADAMTSL3;ADAMTS8;ADAMTS9
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	6/21	0.0011008662650912387	0.02470068682298467	0	0	6.343966244725738	43.212927758940296	PDE1A;PDE4D;PDE2A;PDE4B;PDE5A;PDE7B
GO:0017080	sodium channel regulator activity (GO:0017080)	8/37	0.001266255141773855	0.027550642175564483	0	0	4.379281196257324	29.21721287821256	FXYD1;ATP2B4;FXYD6;FGF13;SCN4B;SCN1B;FGF11;SNTA1
GO:0070851	growth factor receptor binding (GO:0070851)	15/105	0.00137474773092371	0.029031437376565404	0	0	2.6529195011337867	17.481373346780295	PDGFRA;KL;CSF3;TSLP;ITGB3;FGF2;AREG;FGF7;IL6;EFEMP1;PDGFD;ITGA5;IL6ST;IL6R;HBEGF
GO:0004112	cyclic-nucleotide phosphodiesterase activity (GO:0004112)	6/23	0.001848693386944158	0.034525793127315935	0	0	5.597021593447505	35.22360259883231	PDE1A;PDE4D;PDE2A;PDE4B;PDE5A;PDE7B
GO:0003688	DNA replication origin binding (GO:0003688)	6/23	0.001848693386944158	0.034525793127315935	0	0	5.597021593447505	35.22360259883231	CDC45;ORC1;MCM4;MCM10;CDC6;MCM2
GO:0004523	RNA-DNA hybrid ribonuclease activity (GO:0004523)	3/5	0.001923442514056598	0.034525793127315935	0	0	23.74621212121212	148.5002316299726	FEN1;RNASEH2A;EXO1
GO:0086007	voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007)	3/5	0.001923442514056598	0.034525793127315935	0	0	23.74621212121212	148.5002316299726	CACNB2;CACNA2D1;CACNA1C
GO:0062037	D-loop DNA binding (GO:0062037)	3/5	0.001923442514056598	0.034525793127315935	0	0	23.74621212121212	148.5002316299726	RAD51AP1;RECQL4;BLM
GO:0097109	neuroligin family protein binding (GO:0097109)	3/5	0.001923442514056598	0.034525793127315935	0	0	23.74621212121212	148.5002316299726	NRXN1;NRXN3;NRXN2
GO:0001664	G protein-coupled receptor binding (GO:0001664)	18/143	0.002118712733931257	0.03710331080396689	0	0	2.293687979539642	14.12211435133986	TUB;GNAZ;WNT2B;CCL21;FZD7;PTCH2;WNT9A;REEP1;GNAO1;GNA14;SFRP1;CXCL12;GNAL;REEP2;AGTR1;S1PR1;FLNA;WNT2
GO:0070888	E-box binding (GO:0070888)	8/41	0.0025375271932187716	0.04337963154121614	0	0	3.8476395399472323	22.995668646358947	PER1;ZEB1;TAL1;MYC;HAND2;ATOH8;TCF21;MITF
GO:0019210	kinase inhibitor activity (GO:0019210)	7/33	0.002842195378265755	0.04744949632981153	0	0	4.27108238045738	25.042118405837627	CDKN1C;SOCS3;GMFG;PPP1R1B;RHOH;PARVA;SNCA
GO:0005217	intracellular ligand-gated ion channel activity (GO:0005217)	4/11	0.002944451184303285	0.04744949632981153	0	0	9.0513900589722	52.74998818191706	TRPM2;RYR2;ITPR1;RYR3
GO:0098632	cell-cell adhesion mediator activity (GO:0098632)	8/42	0.002973854226798773	0.04744949632981153	0	0	3.734274774998757	21.725623949383944	EPCAM;PALLD;NEXN;STXBP6;CNTN4;IGSF9;CD200;JAM3
GO:1904929	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway (GO:1904929)	3/6	0.003676550933951484	0.05616518235270565	0	0	15.82996632996633	88.73931201706634	ROR1;ROR2;GPC6
GO:0035174	histone serine kinase activity (GO:0035174)	3/6	0.003676550933951484	0.05616518235270565	0	0	15.82996632996633	88.73931201706634	PRKAA2;AURKB;AURKA
GO:0030165	PDZ domain binding (GO:0030165)	10/63	0.0038564999876540586	0.0576868123153253	0	0	2.9965012062051666	16.65453945809697	TGFBR3;FZD2;TMEM88;USHBP1;SDC2;FZD7;KIF14;ATP2B4;SLC26A6;CIT
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	8/44	0.004019869046508144	0.05890338725291526	0	0	3.526439372593219	19.453623789608116	CCNA2;CCNB2;CCNB1;CCND2;CCNE2;CCNE1;CKS2;CKS1B
GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	4/12	0.004210027193918851	0.06024295729701497	0	0	7.9195450716090985	43.322177893322866	PDE4D;PDE2A;PDE4B;PDE7B
GO:0099604	ligand-gated calcium channel activity (GO:0099604)	5/19	0.004279095852573487	0.06024295729701497	0	0	5.659780775716695	30.868520990435826	RYR2;TRPM2;ITPR1;RYR3;GRIN2D
GO:0017111	nucleoside-triphosphatase activity (GO:0017111)	28/278	0.004645845619687583	0.06414840682568625	0	0	1.7872811693895099	9.600884589176722	DIRAS3;RASL12;GNAZ;DIRAS1;LRRK2;KIF14;CLU;RND3;RAP1GAP;RERG;KIF15;RNF112;GNA14;RRAS;RAB23;RAC3;TPPP;GBP6;RHOH;GNG11;GEM;RHOB;GNAO1;GNAL;KIF18B;KIF26A;RHOJ;DNA2
GO:0004713	protein tyrosine kinase activity (GO:0004713)	14/108	0.004841555383627807	0.06477379047070565	0	0	2.3681736835445326	12.623595406589626	PDGFRA;NTRK2;EPHA7;PKDCC;TTK;BMX;MELK;AXL;KIT;ROR1;ROR2;EPHB2;EPHA3;FGFR1
GO:0015085	calcium ion transmembrane transporter activity (GO:0015085)	9/55	0.0048715664142313445	0.06477379047070565	0	0	3.105771352902229	16.536181862369446	RYR2;CACNB2;TRPM2;SLC24A3;TRPC1;ATP2A3;ANXA6;ITPR1;ATP2B4
GO:0000976	transcription cis-regulatory region binding (GO:0000976)	48/549	0.005023959647270324	0.0655855095770926	0	0	1.5346105688884697	8.12351764567391	HDAC4;BNC2;THRA;UHRF1;GATA6;CREM;TWIST2;GATA5;TCF21;SIX1;HIF3A;BRCA1;FOXM1;SOX17;CREB3L1;MYC;PRDM16;E2F1;E2F2;MSX1;PITX2;SOX7;E2F7;SOX4;E2F8;SNCA;KCNH2;EGR1;MEF2C;EGR2;JUND;PEG3;FOXF1;TFEB;ARID5A;FOS;KLF4;SOX10;KLF15;MMP12;PER2;PER1;PER3;TAL1;HAND2;CRY2;SIM2;ATF3
GO:0004712	protein serine/threonine/tyrosine kinase activity (GO:0004712)	6/28	0.005348138396798224	0.06857077444466295	0	0	4.3238204833141545	22.61793409873414	PRKAA2;LRRK2;RPS6KA2;TTK;AURKB;AURKA
GO:0005161	platelet-derived growth factor receptor binding (GO:0005161)	4/13	0.005797254682415534	0.07302506775393602	0	0	7.03922119254891	36.25459931373456	PDGFRA;ITGB3;PDGFD;ITGA5
GO:0047555	3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	3/7	0.0061499704949275254	0.07359464692263272	0	0	11.871843434343434	60.443211389669024	PDE1A;PDE2A;PDE5A
GO:0043139	5'-3' DNA helicase activity (GO:0043139)	3/7	0.0061499704949275254	0.07359464692263272	0	0	11.871843434343434	60.443211389669024	PIF1;BRIP1;DNA2
GO:0005138	interleukin-6 receptor binding (GO:0005138)	3/7	0.0061499704949275254	0.07359464692263272	0	0	11.871843434343434	60.443211389669024	IL6;IL6ST;IL6R
GO:0001222	transcription corepressor binding (GO:0001222)	6/29	0.006409761680877282	0.07487004715671144	0	0	4.135608145294442	20.884544825531183	PER2;PER1;PER3;ZBTB16;ESR1;EZH2
GO:0140297	DNA-binding transcription factor binding (GO:0140297)	22/208	0.006465101565064219	0.07487004715671144	0	0	1.8842775278935218	9.499277184705322	HDAC4;MEF2C;EGR2;TLE2;MYOCD;SRF;CREM;TCF21;FOS;LDB2;KLF4;TAL1;MYC;ID2;HAND2;PRDM16;BCL2;NLRP3;ZFPM2;PITX2;PITX1;RUNX1T1
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	88/1149	0.008757147486737192	0.09512996167595558	0	0	1.334569501565006	6.323036898232732	ZNF331;THRA;TCF21;SIX1;HIF3A;MEOX2;MEOX1;NR3C2;SOX17;SIX4;CREB3L1;MYC;MYB;MYBL2;PITX2;PITX1;JUNB;SOX7;SOX4;PKNOX2;MEF2C;EBF1;TFEB;MITF;EBF3;FOS;ETV4;SOX10;KLF15;FOXP2;HIC1;ZEB2;ZEB1;TAL1;HAND2;IRF5;PGR;ATF3;JDP2;CREB5;HDAC4;ZNF671;ZNF471;NFIX;HLF;ZBTB47;CEBPD;SRF;GATA6;CREM;GATA5;NACC2;ATOH8;PRDM16;E2F1;E2F2;OTX1;ZNF423;E2F7;E2F8;ZSCAN18;EGR1;EGR2;EGR3;JUND;FOXF1;ZBTB16;NR2F1;SMAD9;TBX5;KLF4;ESR1;KLF2;NFATC4;POU6F1;FOSL1;NR4A2;PER1;NR4A1;KLF6;NR4A3;NFIA;NFIB;MAFF;KLF9;FOSB;ZNF135;ZFP28
GO:0032561	guanyl ribonucleotide binding (GO:0032561)	22/214	0.008931183868973352	0.09512996167595558	0	0	1.824805745651554	8.60981000330539	GBP6;DIRAS3;RASL12;RRAD;DIRAS1;LRRK2;PDE2A;RHOH;RND3;GEM;RERG;RHOB;RNF112;TUBB6;RRAS;TUBB3;RHOJ;ANXA6;RAC3;PDE5A;SLC19A1;RAB9B
GO:0003677	DNA binding (GO:0003677)	65/811	0.008993619676476678	0.09512996167595558	0	0	1.3977387987561845	6.5850827675712384	TOP2A;CSRNP1;SERPINA3;FEN1;HMGB3;SIX1;MCM10;BRCA1;BRCA2;MEOX2;MEOX1;EXO1;MYC;JUNB;ARID5A;SOX10;FOXP2;HIC1;MMP12;ZEB2;CRY2;TIMELESS;MCM4;IRF5;PGR;DNA2;NUPR1;MCM2;HDAC4;COLEC11;BLM;HLF;TSHZ3;CREM;RAD51AP1;BRIP1;CDC45;ORC1;PRDM16;E2F1;E2F2;NLRP3;CLSPN;ZNF423;PPARGC1A;EGR1;CDT1;POLQ;EGR2;ATAD5;FOXF1;ZBTB16;NR2F1;TBX5;KLF2;POU6F1;NR4A2;NR4A1;RAD51;NR4A3;NFIB;MAFF;BCL2;FOSB;SIM2
GO:0017108	5'-flap endonuclease activity (GO:0017108)	3/8	0.009407001781327085	0.09512996167595558	0	0	9.496969696969696	44.3157191619391	FEN1;EXO1;DNA2
GO:0033130	acetylcholine receptor binding (GO:0033130)	3/8	0.009407001781327085	0.09512996167595558	0	0	9.496969696969696	44.3157191619391	RIC3;LYNX1;NRXN1
GO:0004862	cAMP-dependent protein kinase inhibitor activity (GO:0004862)	3/8	0.009407001781327085	0.09512996167595558	0	0	9.496969696969696	44.3157191619391	PRKAR2B;PRKAG2;PKIG
GO:0004897	ciliary neurotrophic factor receptor activity (GO:0004897)	3/8	0.009407001781327085	0.09512996167595558	0	0	9.496969696969696	44.3157191619391	LIFR;IL6ST;IL6R
GO:0071936	coreceptor activity involved in Wnt signaling pathway (GO:0071936)	3/8	0.009407001781327085	0.09512996167595558	0	0	9.496969696969696	44.3157191619391	ROR1;ROR2;GPC6
GO:0061575	cyclin-dependent protein serine/threonine kinase activator activity (GO:0061575)	3/8	0.009407001781327085	0.09512996167595558	0	0	9.496969696969696	44.3157191619391	CCNB1;CKS2;CKS1B
GO:0048018	receptor ligand activity (GO:0048018)	29/307	0.009620532274146127	0.09593808573384609	0	0	1.663588578362783	7.725465278598942	SEMA5B;CSF3;WNT2B;SEMA3B;SEMA3G;SEMA3E;AREG;FGF2;CX3CL1;FGF7;WNT2;IL33;EPHA7;TSLP;BDNF;TNFSF12;IL34;HGF;BMP8B;INHBB;IGF1;WNT9A;INHBA;DKK1;BMP5;GREM2;IL6;GAS6;HBEGF
GO:0003924	GTPase activity (GO:0003924)	22/216	0.009905270373784353	0.09742444011475569	0	0	1.8057992997804098	8.333200905372193	GBP6;DIRAS3;RASL12;GNAZ;DIRAS1;LRRK2;RHOH;GNG11;RND3;GEM;RAP1GAP;RERG;RHOB;GNAO1;RNF112;GNA14;GNAL;RRAS;RAB23;RHOJ;RAC3;TPPP
GO:0051117	ATPase binding (GO:0051117)	10/73	0.010992502126668413	0.10665698009389082	0	0	2.519522062282435	11.3644097377955	PLN;TRPC1;PDE4D;CAV1;SNX10;ANK2;PGR;ATP1B2;ESR1;SNTA1
GO:0030695	GTPase regulator activity (GO:0030695)	23/233	0.012119174104095104	0.11543542602413394	0	0	1.7440353881278539	7.696369644763671	ARHGAP11A;STARD13;STARD8;LRRK2;RHOH;ARHGAP39;ARHGAP15;IQGAP3;RAP1GAP;ARHGAP24;RGS5;ARHGAP10;RGS2;ARHGAP20;RACGAP1;DLC1;CDC42EP2;NCKAP1L;SLIT2;RGS11;ECT2;CPEB2;GARNL3
GO:0098631	cell adhesion mediator activity (GO:0098631)	5/24	0.012218791612582422	0.11543542602413394	0	0	4.169255347474927	18.36465347071417	PALLD;NEXN;CNTN4;IGSF9;JAM3
GO:0001221	transcription coregulator binding (GO:0001221)	8/53	0.012557471978956356	0.11629137567966348	0	0	2.819799004414389	12.343499300809063	PER2;PER1;PER3;ZBTB16;PGR;ESR1;CIT;EZH2
GO:0005523	tropomyosin binding (GO:0005523)	4/16	0.012793428159711672	0.11629137567966348	0	0	5.278573434428531	23.008370803041277	TMOD1;CALD1;TNNT2;LMOD1
GO:0004860	protein kinase inhibitor activity (GO:0004860)	7/43	0.012795290638848766	0.11629137567966348	0	0	3.083028340840841	13.437928094239304	CDKN1C;SOCS3;GMFG;PPP1R1B;PARVA;SNCA;CIT
GO:0004022	alcohol dehydrogenase (NAD+) activity (GO:0004022)	3/9	0.013491655248379513	0.11813424961385964	0	0	7.913720538720539	34.0739792266922	ADH1C;ADH1B;ADHFE1
GO:0048256	flap endonuclease activity (GO:0048256)	3/9	0.013491655248379513	0.11813424961385964	0	0	7.913720538720539	34.0739792266922	FEN1;EXO1;DNA2
