geneSet,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId
GO:0019887,protein kinase regulator activity (GO:0019887),96,17,6.4,2.65625,1.82E-04,0.020919321,9021;6622;55742;51422;2258;9133;5577;891;890;9134;898;894;3071;22974;84152;1028;9535,CCNE1;CCNE2;CCNB2;TPX2;FGF13;CCNB1;PPP1R1B;CCND2;SOCS3;CCNA2;PRKAR2B;PRKAG2;NCKAP1L;CDKN1C;PARVA;GMFG;SNCA
GO:0008179,adenylate cyclase binding (GO:0008179),10,5,0.666666667,7.5,2.47E-04,0.024932243,10486;9590;111;9472;108,ADCY5;AKAP12;AKAP6;CAP2;ADCY2
GO:0051371,muscle alpha-actinin binding (GO:0051371),15,6,1,6,2.56E-04,0.024932243,171024;8572;27295;9260;11155;23022,SYNPO2;LDB3;PDLIM4;PDLIM3;PALLD;PDLIM7
GO:0043565,sequence-specific DNA binding (GO:0043565),707,71,47.13333333,1.506364922,2.96E-04,0.026793657,80119;9759;10865;6943;2099;596;4321;90993;9586;1390;467;63876;7025;28999;2627;140628;4208;2353;93986;5307;5308;23090;6910;29128;6722;1869;1870;144455;79733;1958;1959;1960;2294;2118;3663;4306;6663;3727;8061;3726;4605;4776;5463;9839;122953;63976;4781;2354;3090;4784;23764;9314;10365;1316;1052;6659;83595;7942;4223;4222;4929;3164;5013;3131;6495;51804;10891;64651;114548;9464;4487,NR4A1;KLF2;FOSB;TCF21;FOXF1;CSRNP1;HLF;NR4A2;MEOX1;GATA5;SOX10;EGR3;OTX1;HIC1;JUND;FOS;EGR1;SOX4;NR3C2;MEF2C;KLF4;SRF;GATA6;UHRF1;PKNOX2;MYBL2;ZEB2;CREM;PPARGC1A;E2F7;HAND2;TFEB;NR2F1;NFIX;ATF3;BCL2;KLF6;PIF1;JDP2;MSX1;E2F1;MAFF;SIX4;HDAC4;MEOX2;CREB5;EGR2;NFIB;CREB3L1;CEBPD;NFATC4;ETV4;NLRP3;E2F2;ARID5A;JUNB;POU6F1;ESR1;PITX1;FOXP2;SIX1;SOX7;IRF5;PRDM16;E2F8;KLF15;MMP12;FOSL1;ZNF423;TBX5;PITX2
GO:0030551,cyclic nucleotide binding (GO:0030551),22,7,1.466666667,4.772727273,4.01E-04,0.033842756,5144;5138;5142;8654;6573;11149;64091,PDE2A;PDE4B;PDE5A;PDE4D;SLC19A1;BVES;POPDC2
GO:0019901,protein kinase binding (GO:0019901),501,53,33.4,1.586826347,5.23E-04,0.041378483,10979;5347;9928;51422;11213;150;29127;23542;5579;857;2099;287;7538;6262;8013;5577;2627;3663;4920;891;1163;1164;890;894;2690;7153;7037;148252;399;388;390;5881;6790;22974;11113;993;995;1464;26960;2305;8633;9055;10112;3832;79866;59;1847;1843;1850;196883;9796;2869;147906,PHYHIP;NR4A3;DUSP1;ANK2;ZFP36;PRKCB;AURKA;FOXM1;KIF14;GATA6;ACTA2;BORA;KIF20A;TOP2A;CDC25C;CAV1;PLK1;TPX2;CCNB1;RHOB;DACT3;KIF11;ADCY4;CKS2;RAC3;PRC1;CIT;GHR;CCND2;FERMT2;CKS1B;CDC25A;CCNA2;UNC5C;PRKAR2B;RACGAP1;DUSP8;GRK5;ADRA2A;PRKAG2;IRAK3;MAPK8IP2;DUSP5;ESR1;DIRAS1;NBEA;RYR2;TFRC;CSPG4;IRF5;ROR2;RND3;RHOH
GO:0050998,nitric-oxide synthase binding (GO:0050998),7,4,0.466666667,8.571428571,5.83E-04,0.041399689,1756;857;6640;493,CAV1;DMD;ATP2B4;SNTA1
GO:0042803,protein homodimerization activity (GO:0042803),625,63,41.66666667,1.512,5.88E-04,0.041399689,5050;316;5138;641;7169;7168;120892;8572;23345;8309;11343;25902;5167;55157;11213;150;10004;154;1410;5350;596;3757;2316;5648;9353;845;6285;8013;4953;3570;467;7704;93986;6722;138151;3625;2690;10404;7153;9464;7037;2053;2260;5745;1048;5156;5909;1894;11076;54922;8736;348093;11030;1428;4915;57863;1063;4085;152007;3815;10516;126393;26353,HSPB6;NR4A3;MGLL;AOX1;ZBTB16;TPPP;CRYAB;ACOX2;PDE2A;PTH1R;CADM3;MYOM1;CRYM;MASP1;CASQ2;LRRK2;SRF;FBLN5;PLN;CENPF;SYNE1;NACC2;PDLIM4;BLM;TOP2A;HAND2;SLIT2;FLNA;KCNH2;RBPMS2;NAALADL1;DARS2;GHR;ATF3;EPHX2;TPM2;MTHFD1L;ECT2;BCL2;HSPB8;RBPMS;MAD2L1;TPM1;CPQ;RAP1GAP;FGFR1;PAFAH1B3;ADRA2A;KIT;IRAK3;INHBB;S100B;CEACAM5;ADRB2;ODC1;FOXP2;TFRC;NTRK2;IL6R;GLIPR2;PDGFRA;RASIP1;ENPP1
GO:0030552,cAMP binding (GO:0030552),12,5,0.8,6.25,6.94E-04,0.045808897,5144;5138;5142;11149;64091,PDE2A;PDE4B;PDE4D;BVES;POPDC2
GO:0051393,alpha-actinin binding (GO:0051393),24,7,1.6,4.375,7.23E-04,0.045808897,171024;8572;27295;9260;11155;775;23022,SYNPO2;LDB3;PDLIM4;PDLIM3;PALLD;CACNA1C;PDLIM7
GO:0019900,kinase binding (GO:0019900),456,48,30.4,1.578947368,0.001053328,0.058314892,2934;10979;5347;9928;51422;11213;150;29127;23542;857;2099;287;7538;2316;8013;2627;5187;3663;891;1163;1164;890;894;2690;990;7037;399;388;390;5881;1740;6790;9212;22974;11113;993;995;1464;26960;8736;9172;2305;8633;9055;10112;3832;79866;59,PER1;NR4A3;ANK2;ZFP36;AURKA;MYOM2;MYOM1;FOXM1;KIF14;GSN;DLG2;GATA6;ACTA2;BORA;KIF20A;CDC6;CDC25C;CAV1;PLK1;TPX2;CCNB1;RHOB;KIF11;FLNA;CKS2;RAC3;PRC1;CIT;GHR;AURKB;CCND2;FERMT2;CKS1B;CDC25A;CCNA2;UNC5C;RACGAP1;ADRA2A;PRKAG2;IRAK3;MAPK8IP2;ESR1;NBEA;TFRC;CSPG4;IRF5;RND3;RHOH
GO:0017116,single-stranded DNA helicase activity (GO:0017116),19,6,1.266666667,4.736842105,0.001101318,0.058314892,4171;80119;1763;10721;5888;79075,POLQ;MCM2;DNA2;RAD51;PIF1;DSCC1
GO:0048495,Roundabout binding (GO:0048495),8,4,0.533333333,7.5,0.001104623,0.058314892,7041;9353;6586;59352,SLIT3;SLIT2;TGFB1I1;LGR6
GO:0035173,histone kinase activity (GO:0035173),8,4,0.533333333,7.5,0.001104623,0.058314892,983;5563;6790;9212,AURKA;CDK1;AURKB;PRKAA2
GO:0000217,DNA secondary structure binding (GO:0000217),33,8,2.2,3.636363636,0.001171573,0.059375321,641;9401;4208;10635;3149;63967;7516;9464,XRCC2;RECQL4;HMGB3;MEF2C;CLSPN;BLM;RAD51AP1;HAND2
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)",333,37,22.2,1.666666667,0.001493053,0.072757642,6943;2099;5241;8013;90993;467;28999;4208;7704;6910;6722;1870;1958;1959;2294;2118;3663;6663;4602;4609;64321;4605;63976;4774;4781;4286;23764;9314;1316;6659;4223;4929;3164;5013;3131;6495;9464,NR4A1;NR4A3;TCF21;FOXF1;SOX17;HLF;ZBTB16;NR4A2;PGR;SOX10;OTX1;EGR1;SOX4;MEF2C;KLF4;SRF;MYBL2;HAND2;ATF3;KLF6;MAFF;NFIA;MEOX2;EGR2;NFIB;CREB3L1;ETV4;MITF;E2F2;ESR1;SIX1;IRF5;PRDM16;MYB;KLF15;MYC;TBX5
GO:0019199,transmembrane receptor protein kinase activity (GO:0019199),60,11,4,2.75,0.001819685,0.082340745,7048;2048;2045;4920;4919;2042;2260;5156;4915;3815;558,TGFBR2;EPHA3;EPHA7;AXL;ROR1;FGFR1;KIT;NTRK2;PDGFRA;EPHB2;ROR2
GO:0004714,transmembrane receptor protein tyrosine kinase activity (GO:0004714),60,11,4,2.75,0.001819685,0.082340745,2048;2045;4920;4919;2042;2202;2260;5156;4915;3815;558,EPHA3;EPHA7;AXL;ROR1;FGFR1;KIT;EFEMP1;NTRK2;PDGFRA;EPHB2;ROR2
GO:0004114,"3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)",21,6,1.4,4.285714286,0.001963846,0.085799766,5144;5138;5142;27115;5136;8654,PDE2A;PDE1A;PDE4B;PDE5A;PDE4D;PDE7B
GO:0017080,sodium channel regulator activity (GO:0017080),37,8,2.466666667,3.243243243,0.00257151,0.097816757,5348;6640;2258;493;6324;6330;53826;2256,FXYD1;FXYD6;FGF13;SCN4B;SCN1B;ATP2B4;SNTA1;FGF11
GO:0062037,D-loop DNA binding (GO:0062037),5,3,0.333333333,9,0.002666011,0.097816757,641;9401;10635,RECQL4;BLM;RAD51AP1
GO:0004523,RNA-DNA hybrid ribonuclease activity (GO:0004523),5,3,0.333333333,9,0.002666011,0.097816757,9156;2237;10535,RNASEH2A;EXO1;FEN1
GO:0097109,neuroligin family protein binding (GO:0097109),5,3,0.333333333,9,0.002666011,0.097816757,9378;9379;9369,NRXN1;NRXN2;NRXN3
GO:0086007,voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007),5,3,0.333333333,9,0.002666011,0.097816757,775;781;783,CACNB2;CACNA2D1;CACNA1C
GO:0008237,metallopeptidase activity (GO:0008237),121,17,8.066666667,2.107438017,0.00270212,0.097816757,4322;4321;80332;4320;92949;54507;57188;4312;81792;170689;9718;79875;11096;9507;9510;56999;11095,MMP11;ADAM33;ADAMTS1;THSD4;ADAMTS8;ADAMTSL4;ADAMTSL3;ECE2;ADAMTS15;MMP13;ADAMTS5;ADAMTSL1;MMP1;ADAMTS9;MMP12;ADAMTS4;ADAMTS12
GO:0003690,double-stranded DNA binding (GO:0003690),641,61,42.73333333,1.427457098,0.002864743,0.100823055,2237;5888;6943;2099;90993;9586;1390;467;63876;7025;28999;2627;140628;4208;2353;5307;5308;29128;6722;1869;1870;144455;79733;1958;1959;1960;2118;3663;4306;6663;3727;8061;3726;4605;4776;5463;122953;4781;2354;3090;4784;23764;9314;10365;1316;1052;6659;83595;7942;4223;4222;4929;3164;5013;3131;6495;51804;10635;3149;9464;4487,NR4A1;KLF2;FOSB;TCF21;HLF;NR4A2;MEOX1;GATA5;SOX10;EGR3;OTX1;HIC1;JUND;HMGB3;FOS;EGR1;SOX4;NR3C2;MEF2C;KLF4;SRF;GATA6;UHRF1;PKNOX2;MYBL2;CREM;RAD51AP1;RAD51;E2F7;HAND2;TFEB;NR2F1;NFIX;ATF3;KLF6;JDP2;FEN1;MSX1;E2F1;MAFF;SIX4;MEOX2;CREB5;EGR2;NFIB;CREB3L1;CEBPD;NFATC4;ETV4;E2F2;JUNB;POU6F1;ESR1;PITX1;SIX1;SOX7;IRF5;E2F8;KLF15;FOSL1;PITX2
GO:0004112,cyclic-nucleotide phosphodiesterase activity (GO:0004112),23,6,1.533333333,3.913043478,0.003258362,0.108640654,5144;5138;5142;27115;5136;8654,PDE2A;PDE1A;PDE4B;PDE5A;PDE4D;PDE7B
GO:0003688,DNA replication origin binding (GO:0003688),23,6,1.533333333,3.913043478,0.003258362,0.108640654,4171;55388;8318;4173;4998;990,ORC1;MCM2;CDC6;CDC45;MCM10;MCM4
GO:0004175,endopeptidase activity (GO:0004175),315,34,21,1.619047619,0.00364196,0.11566696,4322;4321;5648;715;3082;6422;9099;9700;8722;11274;7177;80332;4320;5126;9159;1511;23430;92949;54507;57188;2159;2161;64499;4312;81792;170689;716;9718;79875;11096;9507;9510;56999;11095,F10;MMP11;CTSG;ADAM33;PCSK2;ADAMTS1;TPSB2;TPSAB1;SFRP1;MASP1;THSD4;ADAMTS8;ADAMTSL4;TPSD1;ADAMTSL3;USP2;USP18;ECE2;ADAMTS15;MMP13;C1R;ESPL1;PCSK7;ADAMTS5;HGF;CTSF;ADAMTSL1;MMP1;C1S;ADAMTS9;MMP12;ADAMTS4;F12;ADAMTS12
GO:0019210,kinase inhibitor activity (GO:0019210),31,7,2.066666667,3.387096774,0.00365168,0.11566696,9021;6622;55742;399;84152;1028;9535,PPP1R1B;SOCS3;CDKN1C;PARVA;GMFG;RHOH;SNCA
GO:0070851,growth factor receptor binding (GO:0070851),105,15,7,2.142857143,0.003991941,0.123360715,9365;3690;2247;2252;3572;3570;1440;85480;3569;1839;374;2202;5156;80310;3678,IL6;FGF2;FGF7;TSLP;CSF3;IL6ST;PDGFD;HBEGF;EFEMP1;ITGA5;ITGB3;KL;IL6R;PDGFRA;AREG
GO:0005217,intracellular ligand-gated ion channel activity (GO:0005217),11,4,0.733333333,5.454545455,0.00443016,0.133643172,7226;6262;3708;6263,ITPR1;RYR3;TRPM2;RYR2
GO:0070888,E-box binding (GO:0070888),41,8,2.733333333,2.926829268,0.005028179,0.142698165,6943;5187;84913;4609;6935;6886;4286;9464,PER1;TCF21;HAND2;ATOH8;ZEB1;MITF;MYC;TAL1
GO:0035174,histone serine kinase activity (GO:0035174),6,3,0.4,7.5,0.005068206,0.142698165,5563;6790;9212,AURKA;AURKB;PRKAA2
GO:1904929,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway (GO:1904929)",6,3,0.4,7.5,0.005068206,0.142698165,4920;10082;4919,ROR1;ROR2;GPC6
GO:0098632,cell-cell adhesion mediator activity (GO:0098632),42,8,2.8,2.857142857,0.0058569,0.161319386,23022;29091;4072;57549;91624;152330;83700;4345,NEXN;JAM3;PALLD;CNTN4;CD200;STXBP6;IGSF9;EPCAM
GO:0001664,G protein-coupled receptor binding (GO:0001664),142,18,9.466666667,1.901408451,0.006271057,0.166249464,1901;2316;6366;6387;6422;7482;7483;7472;8324;185;7275;2774;51308;65055;2781;8643;2775;9630,AGTR1;SFRP1;GNAL;CXCL12;REEP1;FLNA;S1PR1;GNAO1;FZD7;WNT2B;GNA14;GNAZ;WNT2;CCL21;REEP2;WNT9A;TUB;PTCH2
GO:0004115,"3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)",12,4,0.8,5,0.006298322,0.166249464,5144;5138;5142;27115,PDE2A;PDE4B;PDE4D;PDE7B
GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538),43,8,2.866666667,2.790697674,0.006785507,0.174643261,9133;891;1163;1164;890;9134;898;894,CCNE1;CCNE2;CCNB2;CCNB1;CKS2;CCND2;CKS1B;CCNA2
GO:0099604,ligand-gated calcium channel activity (GO:0099604),19,5,1.266666667,3.947368421,0.006891999,0.174643261,7226;6262;3708;6263;2906,ITPR1;RYR3;GRIN2D;TRPM2;RYR2
GO:0030165,PDZ domain binding (GO:0030165),63,10,4.2,2.380952381,0.008351767,0.197841497,9928;65010;493;7049;8324;11113;83878;2535;6383;92162,TGFBR3;KIF14;SLC26A6;TMEM88;CIT;SDC2;FZD7;USHBP1;FZD2;ATP2B4
GO:0047555,"3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)",7,3,0.466666667,6.428571429,0.008432076,0.197841497,5138;5136;8654,PDE2A;PDE1A;PDE5A
GO:0043139,5'-3' DNA helicase activity (GO:0043139),7,3,0.466666667,6.428571429,0.008432076,0.197841497,83990;80119;1763,DNA2;BRIP1;PIF1
GO:0005138,interleukin-6 receptor binding (GO:0005138),7,3,0.466666667,6.428571429,0.008432076,0.197841497,3572;3570;3569,IL6;IL6ST;IL6R
GO:0005161,platelet-derived growth factor receptor binding (GO:0005161),13,4,0.866666667,4.615384615,0.008623824,0.198661554,3690;5156;80310;3678,PDGFD;ITGA5;ITGB3;PDGFRA
GO:0004712,protein serine/threonine/tyrosine kinase activity (GO:0004712),28,6,1.866666667,3.214285714,0.009149178,0.207000147,120892;5563;6790;9212;7272;6196,AURKA;LRRK2;TTK;RPS6KA2;AURKB;PRKAA2
GO:0015085,calcium ion transmembrane transporter activity (GO:0015085),55,9,3.666666667,2.454545455,0.009912343,0.220332246,7226;7220;309;783;57419;6262;3708;493;489,SLC24A3;ITPR1;ANXA6;TRPM2;CACNB2;ATP2A3;TRPC1;ATP2B4;RYR2
GO:0017111,nucleoside-triphosphatase activity (GO:0017111),265,28,17.66666667,1.58490566,0.010378124,0.226708336,1763;120892;9928;1191;26153;2669;85004;2774;2781;2775;9630;51285;6237;148252;9077;163351;7732;399;388;57381;390;5881;5909;2791;51715;11076;146909;56992,RHOJ;TPPP;GNG11;GEM;KIF18B;KIF14;LRRK2;GNAL;CLU;DNA2;KIF15;KIF26A;RASL12;RHOB;RERG;RNF112;RAC3;GNAO1;RAP1GAP;GNA14;GNAZ;RAB23;DIRAS3;DIRAS1;GBP6;RRAS;RND3;RHOH
GO:0001222,transcription corepressor binding (GO:0001222),29,6,1.933333333,3.103448276,0.010900729,0.234088543,2099;7704;5187;2146;8863;8864,PER1;ZBTB16;PER2;PER3;EZH2;ESR1
GO:0004713,protein tyrosine kinase activity (GO:0004713),107,14,7.133333333,1.962616822,0.011430038,0.241364293,2048;9833;2045;4920;4919;2042;2260;5156;4915;660;91461;3815;7272;558,BMX;EPHA3;TTK;MELK;EPHA7;AXL;ROR1;PKDCC;FGFR1;KIT;NTRK2;PDGFRA;EPHB2;ROR2
GO:0017108,5'-flap endonuclease activity (GO:0017108),8,3,0.533333333,5.625,0.012828548,0.246269256,1763;9156;2237,DNA2;EXO1;FEN1
GO:0061575,cyclin-dependent protein serine/threonine kinase activator activity (GO:0061575),8,3,0.533333333,5.625,0.012828548,0.246269256,891;1163;1164,CCNB1;CKS2;CKS1B
GO:0033130,acetylcholine receptor binding (GO:0033130),8,3,0.533333333,5.625,0.012828548,0.246269256,79608;66004;9378,NRXN1;RIC3;LYNX1
GO:0004862,cAMP-dependent protein kinase inhibitor activity (GO:0004862),8,3,0.533333333,5.625,0.012828548,0.246269256,51422;5577;11142,PRKAR2B;PKIG;PRKAG2
GO:0004897,ciliary neurotrophic factor receptor activity (GO:0004897),8,3,0.533333333,5.625,0.012828548,0.246269256,3977;3572;3570,IL6ST;LIFR;IL6R
GO:0071936,coreceptor activity involved in Wnt signaling pathway (GO:0071936),8,3,0.533333333,5.625,0.012828548,0.246269256,4920;10082;4919,ROR1;ROR2;GPC6
GO:0004860,protein kinase inhibitor activity (GO:0004860),40,7,2.666666667,2.625,0.015393255,0.291093341,9021;6622;55742;11113;84152;1028;9535,CIT;PPP1R1B;SOCS3;CDKN1C;PARVA;GMFG;SNCA
GO:0003924,GTPase activity (GO:0003924),203,22,13.53333333,1.625615764,0.016440535,0.306325843,120892;2669;85004;2774;2781;2775;9630;51285;6237;148252;9077;163351;7732;399;388;57381;390;5881;5909;2791;51715;11076,RHOJ;TPPP;GNG11;GEM;LRRK2;GNAL;RASL12;RHOB;RERG;RNF112;RAC3;GNAO1;RAP1GAP;GNA14;GNAZ;RAB23;DIRAS3;DIRAS1;GBP6;RRAS;RND3;RHOH
GO:0048256,flap endonuclease activity (GO:0048256),9,3,0.6,5,0.018300944,0.326581635,1763;9156;2237,DNA2;EXO1;FEN1
GO:0004022,alcohol dehydrogenase (NAD+) activity (GO:0004022),9,3,0.6,5,0.018300944,0.326581635,126;125;137872,ADH1B;ADHFE1;ADH1C
GO:0035259,glucocorticoid receptor binding (GO:0035259),9,3,0.6,5,0.018300944,0.326581635,8013;4929;3164,NR4A1;NR4A3;NR4A2
GO:0005523,tropomyosin binding (GO:0005523),16,4,1.066666667,3.75,0.018713499,0.329305605,7139;800;7111;25802,LMOD1;TMOD1;TNNT2;CALD1
GO:0098631,cell adhesion mediator activity (GO:0098631),24,5,1.6,3.125,0.019119359,0.331838735,23022;57549;91624;152330;83700,NEXN;JAM3;PALLD;CNTN4;IGSF9
GO:0032561,guanyl ribonucleotide binding (GO:0032561),207,22,13.8,1.594202899,0.02015382,0.340465195,5138;8654;120892;6573;309;2669;6236;85004;51285;6237;51209;148252;9077;163351;84617;10381;7732;399;388;57381;390;5881,RHOJ;PDE2A;GEM;PDE5A;LRRK2;ANXA6;RASL12;RHOB;RERG;RNF112;RAC3;RRAD;RAB9B;SLC19A1;TUBB6;DIRAS3;DIRAS1;TUBB3;GBP6;RRAS;RND3;RHOH
GO:0140297,DNA-binding transcription factor binding (GO:0140297),207,22,13.8,1.594202899,0.02015382,0.340465195,9759;6943;596;1390;4208;2353;5307;5308;6722;1959;4609;6886;63976;9314;114548;9464;23414;3398;7089;862;93649;9079,TCF21;MYOCD;FOS;LDB2;MEF2C;KLF4;SRF;CREM;HAND2;BCL2;ID2;HDAC4;EGR2;NLRP3;PITX1;RUNX1T1;PRDM16;MYC;TLE2;ZFPM2;TAL1;PITX2
