GO_ID	GO_LABEL_FULL	NUMBER_OF_GENES_IN_REFERENCE	NUMBER_OF_GENES_IN_INPUT	NUMBER_OF_GENES_EXPECTED	+/-	FOLD_ENRICHMENT	RAW_P_VALUE	FDR
GO:0030731	guanidinoacetate N-methyltransferase activity (GO:0030731)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0047598	7-dehydrocholesterol reductase activity (GO:0047598)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0061812	cyclic ADP-ribose hydrolase (GO:0061812)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0061811	ADP-ribosyl cyclase activity (GO:0061811)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0008802	betaine-aldehyde dehydrogenase activity (GO:0008802)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0140487	metal ion sequestering activity (GO:0140487)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0140483	kinetochore adaptor activity (GO:0140483)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0060072	large conductance calcium-activated potassium channel activity (GO:0060072)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0032896	palmitoyl-CoA 9-desaturase activity (GO:0032896)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0018549	methanethiol oxidase activity (GO:0018549)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0018547	nitroglycerin reductase activity (GO:0018547)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0004341	gluconolactonase activity (GO:0004341)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0035478	chylomicron binding (GO:0035478)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0051908	double-stranded DNA 5'-3' exodeoxyribonuclease activity (GO:0051908)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0045237	CXCR1 chemokine receptor binding (GO:0045237)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0002112	interleukin-33 receptor binding (GO:0002112)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0031073	cholesterol 26-hydroxylase activity (GO:0031073)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0140314	calcium ion sequestering activity (GO:0140314)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0102076	beta,beta-carotene-9',10'-cleaving oxygenase activity (GO:0102076)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0038021	leptin receptor activity (GO:0038021)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0047391	alkylglycerophosphoethanolamine phosphodiesterase activity (GO:0047391)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0061627	S-methylmethionine-homocysteine S-methyltransferase activity (GO:0061627)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0086057	voltage-gated calcium channel activity involved in bundle of His cell action potential (GO:0086057)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0001596	angiotensin type I receptor activity (GO:0001596)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0001567	cholesterol 25-hydroxylase activity (GO:0001567)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0046812	host cell surface binding (GO:0046812)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0008523	sodium-dependent multivitamin transmembrane transporter activity (GO:0008523)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0008518	folate:anion antiporter activity (GO:0008518)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0008516	hexose uniporter activity (GO:0008516)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0051718	DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates (GO:0051718)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0070856	myosin VI light chain binding (GO:0070856)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0046789	host cell surface receptor binding (GO:0046789)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0034722	gamma-glutamyl-peptidase activity (GO:0034722)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0030338	CMP-N-acetylneuraminate monooxygenase activity (GO:0030338)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0010736	serum response element binding (GO:0010736)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0004043	L-aminoadipate-semialdehyde dehydrogenase activity (GO:0004043)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity (GO:0004042)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0019981	interleukin-6 binding (GO:0019981)	2	2	.12	+	17.03	1.71E-02	5.10E-01
GO:0047127	thiomorpholine-carboxylate dehydrogenase activity (GO:0047127)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0019970	interleukin-11 binding (GO:0019970)	3	3	.18	+	17.03	3.00E-03	1.57E-01
GO:0047103	3-alpha,7-alpha,12-alpha-trihydroxycholestan-26-al 26-oxidoreductase activity (GO:0047103)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0106177	cyclic-GMP-AMP hydrolase activity (GO:0106177)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0008387	steroid 7-alpha-hydroxylase activity (GO:0008387)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0043924	suramin binding (GO:0043924)	2	2	.12	+	17.03	1.71E-02	5.07E-01
GO:0015499	formate transmembrane transporter activity (GO:0015499)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0030184	nitric oxide transmembrane transporter activity (GO:0030184)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0031883	taste receptor binding (GO:0031883)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0009918	sterol delta7 reductase activity (GO:0009918)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0015304	glucose uniporter activity (GO:0015304)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0042083	5,10-methylenetetrahydrofolate-dependent methyltransferase activity (GO:0042083)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0010437	9,10 (9', 10')-carotenoid-cleaving dioxygenase activity (GO:0010437)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0008116	prostaglandin-I synthase activity (GO:0008116)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0070463	tubulin-dependent ATPase activity (GO:0070463)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0031718	type 1 cannabinoid receptor binding (GO:0031718)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0031717	cannabinoid receptor binding (GO:0031717)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0031715	C5L2 anaphylatoxin chemotactic receptor binding (GO:0031715)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0031714	C5a anaphylatoxin chemotactic receptor binding (GO:0031714)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0120153	calcium-dependent carbohydrate binding (GO:0120153)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0015233	pantothenate transmembrane transporter activity (GO:0015233)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0102707	S-adenosyl-L-methionine:beta-alanine N-methyltransferase activity (GO:0102707)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0001010	RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity (GO:0001010)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0004947	bradykinin receptor activity (GO:0004947)	2	2	.12	+	17.03	1.71E-02	5.04E-01
GO:0004941	beta2-adrenergic receptor activity (GO:0004941)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0004921	interleukin-11 receptor activity (GO:0004921)	3	3	.18	+	17.03	3.00E-03	1.55E-01
GO:0033885	10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity (GO:0033885)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0004915	interleukin-6 receptor activity (GO:0004915)	2	2	.12	+	17.03	1.71E-02	5.01E-01
GO:0004903	growth hormone receptor activity (GO:0004903)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0072571	mono-ADP-D-ribose binding (GO:0072571)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0070320	inward rectifier potassium channel inhibitor activity (GO:0070320)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0036487	nitric-oxide synthase inhibitor activity (GO:0036487)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0036479	peroxidase inhibitor activity (GO:0036479)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0098695	inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098695)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0047988	hydroxyacid-oxoacid transhydrogenase activity (GO:0047988)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0034211	GTP-dependent protein kinase activity (GO:0034211)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0033791	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity (GO:0033791)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0004816	asparagine-tRNA ligase activity (GO:0004816)	2	2	.12	+	17.03	1.71E-02	4.98E-01
GO:1990407	calcitonin gene-related peptide binding (GO:1990407)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0103045	methione N-acyltransferase activity (GO:0103045)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0070287	ferritin receptor activity (GO:0070287)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0009673	low-affinity phosphate transmembrane transporter activity (GO:0009673)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0050648	5(S)-hydroxyperoxy-6E,8Z,11Z,14Z-icosatetraenoic acid binding (GO:0050648)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0005252	open rectifier potassium channel activity (GO:0005252)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0050647	5-hydroxy-6E,8Z,11Z,14Z-icosatetraenoic acid binding (GO:0050647)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0050646	5-oxo-6E,8Z,11Z,14Z-icosatetraenoic acid binding (GO:0050646)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0004799	thymidylate synthase activity (GO:0004799)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0004790	thioether S-methyltransferase activity (GO:0004790)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0047888	fatty acid peroxidase activity (GO:0047888)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0033678	5'-3' DNA/RNA helicase activity (GO:0033678)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity (GO:0000334)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0017172	cysteine dioxygenase activity (GO:0017172)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0070123	transforming growth factor beta receptor activity, type III (GO:0070123)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0070119	ciliary neurotrophic factor binding (GO:0070119)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0050560	aspartate-tRNA(Asn) ligase activity (GO:0050560)	1	1	.06	+	17.03	1.08E-01	1.00E00
GO:0044729	hemi-methylated DNA-binding (GO:0044729)	3	2	.18	+	11.35	2.75E-02	6.51E-01
GO:0086056	voltage-gated calcium channel activity involved in AV node cell action potential (GO:0086056)	3	2	.18	+	11.35	2.75E-02	6.48E-01
GO:0070699	type II activin receptor binding (GO:0070699)	3	2	.18	+	11.35	2.75E-02	6.45E-01
GO:0004962	endothelin receptor activity (GO:0004962)	3	2	.18	+	11.35	2.75E-02	6.42E-01
GO:0086007	voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007)	5	3	.29	+	10.22	7.72E-03	3.20E-01
GO:0062037	D-loop DNA binding (GO:0062037)	5	3	.29	+	10.22	7.72E-03	3.17E-01
GO:0097109	neuroligin family protein binding (GO:0097109)	5	3	.29	+	10.22	7.72E-03	3.15E-01
GO:0030023	extracellular matrix constituent conferring elasticity (GO:0030023)	9	5	.53	+	9.46	6.84E-04	5.32E-02
GO:0036221	UTP diphosphatase activity (GO:0036221)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0004692	cGMP-dependent protein kinase activity (GO:0004692)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0004666	prostaglandin-endoperoxide synthase activity (GO:0004666)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0045509	interleukin-27 receptor activity (GO:0045509)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0070051	fibrinogen binding (GO:0070051)	4	2	.23	+	8.51	3.97E-02	8.03E-01
GO:0030899	calcium-dependent ATPase activity (GO:0030899)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0005026	transforming growth factor beta receptor activity, type II (GO:0005026)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0050405	[acetyl-CoA carboxylase] kinase activity (GO:0050405)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0047693	ATP diphosphatase activity (GO:0047693)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0004586	ornithine decarboxylase activity (GO:0004586)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0061928	glutathione specific gamma-glutamylcyclotransferase activity (GO:0061928)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0000150	DNA strand exchange activity (GO:0000150)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0052596	phenethylamine:oxygen oxidoreductase (deaminating) activity (GO:0052596)	4	2	.23	+	8.51	3.97E-02	8.00E-01
GO:0052595	aliphatic amine oxidase activity (GO:0052595)	4	2	.23	+	8.51	3.97E-02	7.97E-01
GO:0052594	aminoacetone:oxygen oxidoreductase(deaminating) activity (GO:0052594)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0052593	tryptamine:oxygen oxidoreductase (deaminating) activity (GO:0052593)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0001872	(1->3)-beta-D-glucan binding (GO:0001872)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0061860	DNA clamp unloader activity (GO:0061860)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0061849	telomeric G-quadruplex DNA binding (GO:0061849)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0061821	telomeric D-loop binding (GO:0061821)	4	2	.23	+	8.51	3.97E-02	7.93E-01
GO:0090722	receptor-receptor interaction (GO:0090722)	4	2	.23	+	8.51	3.97E-02	7.90E-01
GO:0001791	IgM binding (GO:0001791)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0061749	forked DNA-dependent helicase activity (GO:0061749)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:1904929	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway (GO:1904929)	6	3	.35	+	8.51	1.11E-02	4.03E-01
GO:0061714	folic acid receptor activity (GO:0061714)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0004351	glutamate decarboxylase activity (GO:0004351)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0004329	formate-tetrahydrofolate ligase activity (GO:0004329)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0140360	cyclic-GMP-AMP transmembrane transporter activity (GO:0140360)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0035403	histone kinase activity (H3-T6 specific) (GO:0035403)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0050196	[phosphorylase] phosphatase activity (GO:0050196)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0003834	beta-carotene 15,15'-dioxygenase activity (GO:0003834)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0038025	reelin receptor activity (GO:0038025)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0035379	carbon dioxide transmembrane transporter activity (GO:0035379)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0086062	voltage-gated sodium channel activity involved in Purkinje myocyte action potential (GO:0086062)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0047322	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity (GO:0047322)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0046899	nucleoside triphosphate adenylate kinase activity (GO:0046899)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0047290	(alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl-galactosaminide 6-alpha-sialyltransferase activity (GO:0047290)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0016151	nickel cation binding (GO:0016151)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:1904713	beta-catenin destruction complex binding (GO:1904713)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0061507	2',3'-cyclic GMP-AMP binding (GO:0061507)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0045029	G protein-coupled UDP receptor activity (GO:0045029)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0004103	choline kinase activity (GO:0004103)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0099635	voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels (GO:0099635)	4	2	.23	+	8.51	3.97E-02	7.87E-01
GO:0099626	voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0030305	heparanase activity (GO:0030305)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0070780	dihydrosphingosine-1-phosphate phosphatase activity (GO:0070780)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0099580	ion antiporter activity involved in regulation of postsynaptic membrane potential (GO:0099580)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:1905060	calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:1905060)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0099511	voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels (GO:0099511)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0099507	ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)	4	2	.23	+	8.51	3.97E-02	7.84E-01
GO:0030293	transmembrane receptor protein tyrosine kinase inhibitor activity (GO:0030293)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:1990890	netrin receptor binding (GO:1990890)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0008396	oxysterol 7-alpha-hydroxylase activity (GO:0008396)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0008309	double-stranded DNA exodeoxyribonuclease activity (GO:0008309)	4	2	.23	+	8.51	3.97E-02	7.81E-01
GO:0048763	calcium-induced calcium release activity (GO:0048763)	4	2	.23	+	8.51	3.97E-02	7.78E-01
GO:0008281	sulfonylurea receptor activity (GO:0008281)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0019785	ISG15-specific peptidase activity (GO:0019785)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0031852	mu-type opioid receptor binding (GO:0031852)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0015350	methotrexate transmembrane transporter activity (GO:0015350)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0008179	adenylate cyclase binding (GO:0008179)	12	6	.70	+	8.51	3.00E-04	2.81E-02
GO:0051380	norepinephrine binding (GO:0051380)	4	2	.23	+	8.51	3.97E-02	7.75E-01
GO:0008147	structural constituent of bone (GO:0008147)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0010436	carotenoid dioxygenase activity (GO:0010436)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0031750	D3 dopamine receptor binding (GO:0031750)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0009882	blue light photoreceptor activity (GO:0009882)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0031732	CCR7 chemokine receptor binding (GO:0031732)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0031711	bradykinin receptor binding (GO:0031711)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0004998	transferrin receptor activity (GO:0004998)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0004991	parathyroid hormone receptor activity (GO:0004991)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0016941	natriuretic peptide receptor activity (GO:0016941)	4	2	.23	+	8.51	3.97E-02	7.72E-01
GO:0004958	prostaglandin F receptor activity (GO:0004958)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0031696	alpha-2C adrenergic receptor binding (GO:0031696)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0031692	alpha-1B adrenergic receptor binding (GO:0031692)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0033842	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity (GO:0033842)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0048495	Roundabout binding (GO:0048495)	8	4	.47	+	8.51	3.25E-03	1.60E-01
GO:0048403	brain-derived neurotrophic factor binding (GO:0048403)	4	2	.23	+	8.51	3.97E-02	7.69E-01
GO:0016890	site-specific endodeoxyribonuclease activity, specific for altered base (GO:0016890)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0098640	integrin binding involved in cell-matrix adhesion (GO:0098640)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0004815	aspartate-tRNA ligase activity (GO:0004815)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0043515	kinetochore binding (GO:0043515)	6	3	.35	+	8.51	1.11E-02	4.00E-01
GO:0099038	ceramide floppase activity (GO:0099038)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0005219	ryanodine-sensitive calcium-release channel activity (GO:0005219)	4	2	.23	+	8.51	3.97E-02	7.66E-01
GO:0004797	thymidine kinase activity (GO:0004797)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0005139	interleukin-7 receptor binding (GO:0005139)	2	1	.12	+	8.51	1.57E-01	1.00E00
GO:0097493	structural molecule activity conferring elasticity (GO:0097493)	11	5	.65	+	7.74	1.36E-03	8.25E-02
GO:0008046	axon guidance receptor activity (GO:0008046)	9	4	.53	+	7.57	4.50E-03	2.09E-01
GO:0004862	cAMP-dependent protein kinase inhibitor activity (GO:0004862)	9	4	.53	+	7.57	4.50E-03	2.07E-01
GO:0071936	coreceptor activity involved in Wnt signaling pathway (GO:0071936)	9	4	.53	+	7.57	4.50E-03	2.05E-01
GO:0017108	5'-flap endonuclease activity (GO:0017108)	7	3	.41	+	7.30	1.52E-02	4.79E-01
GO:0005138	interleukin-6 receptor binding (GO:0005138)	7	3	.41	+	7.30	1.52E-02	4.76E-01
GO:0005030	neurotrophin receptor activity (GO:0005030)	5	2	.29	+	6.81	5.36E-02	9.42E-01
GO:0042806	fucose binding (GO:0042806)	5	2	.29	+	6.81	5.36E-02	9.39E-01
GO:0004528	phosphodiesterase I activity (GO:0004528)	5	2	.29	+	6.81	5.36E-02	9.35E-01
GO:0043199	sulfate binding (GO:0043199)	5	2	.29	+	6.81	5.36E-02	9.32E-01
GO:0035594	ganglioside binding (GO:0035594)	5	2	.29	+	6.81	5.36E-02	9.29E-01
GO:0086006	voltage-gated sodium channel activity involved in cardiac muscle cell action potential (GO:0086006)	5	2	.29	+	6.81	5.36E-02	9.26E-01
GO:0008597	calcium-dependent protein serine/threonine phosphatase regulator activity (GO:0008597)	5	2	.29	+	6.81	5.36E-02	9.22E-01
GO:0016167	glial cell-derived neurotrophic factor receptor activity (GO:0016167)	5	2	.29	+	6.81	5.36E-02	9.19E-01
GO:0015616	DNA translocase activity (GO:0015616)	5	2	.29	+	6.81	5.36E-02	9.16E-01
GO:0019863	IgE binding (GO:0019863)	5	2	.29	+	6.81	5.36E-02	9.13E-01
GO:0031821	G protein-coupled serotonin receptor binding (GO:0031821)	5	2	.29	+	6.81	5.36E-02	9.10E-01
GO:0051371	muscle alpha-actinin binding (GO:0051371)	15	6	.88	+	6.81	7.59E-04	5.55E-02
GO:0015277	kainate selective glutamate receptor activity (GO:0015277)	5	2	.29	+	6.81	5.36E-02	9.07E-01
GO:0004957	prostaglandin E receptor activity (GO:0004957)	5	2	.29	+	6.81	5.36E-02	9.04E-01
GO:0043139	5'-3' DNA helicase activity (GO:0043139)	8	3	.47	+	6.39	2.01E-02	5.55E-01
GO:0090554	phosphatidylcholine floppase activity (GO:0090554)	8	3	.47	+	6.39	2.01E-02	5.52E-01
GO:0035174	histone serine kinase activity (GO:0035174)	8	3	.47	+	6.39	2.01E-02	5.49E-01
GO:1990814	DNA/DNA annealing activity (GO:1990814)	8	3	.47	+	6.39	2.01E-02	5.46E-01
GO:0004897	ciliary neurotrophic factor receptor activity (GO:0004897)	8	3	.47	+	6.39	2.01E-02	5.43E-01
GO:0048256	flap endonuclease activity (GO:0048256)	8	3	.47	+	6.39	2.01E-02	5.40E-01
GO:0008603	cAMP-dependent protein kinase regulator activity (GO:0008603)	11	4	.65	+	6.19	7.86E-03	3.15E-01
GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	17	6	1.00	+	6.01	1.28E-03	7.98E-02
GO:0017116	single-stranded DNA helicase activity (GO:0017116)	23	8	1.35	+	5.92	2.19E-04	2.23E-02
GO:0010997	anaphase-promoting complex binding (GO:0010997)	9	3	.53	+	5.68	2.57E-02	6.42E-01
GO:0004022	alcohol dehydrogenase (NAD+) activity (GO:0004022)	9	3	.53	+	5.68	2.57E-02	6.39E-01
GO:0005119	smoothened binding (GO:0005119)	3	1	.18	+	5.68	2.04E-01	1.00E00
GO:0004667	prostaglandin-D synthase activity (GO:0004667)	3	1	.18	+	5.68	2.04E-01	1.00E00
